event_id,year,Tournament Name,Date,Location,Event Type,Host Club,placements_count,results_lines,event_source
1361239371,2013,Copa San Sebasti?n,"March 16-17, 2013","Táchira, Venezuela",net,Footbag T?chira Venezuela,15,21,
1361239920,2013,FOOTCAMP 2013,"April 20-21, 2013","Táchira, Venezuela",net,Footbag T?chira Venezuela,21,26,
1362598500,2013,Akisphere,"July 19-21, 2013","Québec, Canada",net,Aki Qu?bec,33,41,
1362657553,2013,15th Annual IFPA European Footbag Championships,"July 5-7, 2013","Moscow, Russia",mixed,FlyD,54,66,
1362915311,2013,Turku Open Tuanament,"July 13-14, 2013","Turku, Finland",net,Footcraft,15,20,
1363551565,2013,4th annual Helsinki Open Footbag Tournament,"May 25-26, 2013","Helsinki, Finland",net,Suomen Footbag Liitto ry. (Finnish Footbag Association),20,25,
1366240051,2013,4ta. Copa Ciencias,"May 4-5, 2013","Miranda, Venezuela",net,X-PRO,9,33,
1366375326,2013,WSF Stare Babice Footbag Jam 2013,"May 18, 2013","Suburb, Poland",mixed,WSF Warsaw Footbag Association,36,48,
1367327351,2013,31 Annual East Coast Footbag Championships,"September 27-29, 2013","Red Brooklyn, New York, United States",mixed,New York Footbag Association,20,31,
1368559562,2013,4ta Copa Venezuela,"June 22-23, 2013","Capital, Venezuela",net,X-PRO,36,44,
1369141018,2013,Burgas Summer Footbag Jam V,"July 27-28, 2013","Burgas, Bulgaria",net,Urban Komba,9,16,
1369864929,2013,Paris Net Battle 3,"June 29-30, 2013","Paris, France",net,Rien N'est Hacky - RNH Footbag,7,10,
1370276202,2013,Swiss Footbag Open & Championships,"October 25-27, 2013","Vaud, Switzerland",net,Les Pieds ? Gilles,35,42,
1371821574,2013,Swiss Jam Z?rich,"September 14-15, 2013","Zurich, Switzerland",freestyle,Sole Rebels Z?rich,37,46,
1374570632,2013,17th Annual Finnish Footbag Open,"September 14-15, 2013","Helsinki, Finland",freestyle,Suomen Footbag Liitto ry. (Finnish Footbag Association),63,78,
1376036018,2013,13th Annual Polish Footbag Championships 2013,"August 31-September 1, 2013","Wroclaw, Poland",mixed,,117,147,
1377192359,2013,15th Annual German Footbag Championships & Open,"October 12-13, 2013","Berlin, Germany",mixed,FC Footstar Berlin e.V.,35,66,
1378666423,2013,Danish Footbag Open,"November 29-30, 2013","Copenhagen, Denmark",freestyle,,54,66,
1378821205,2013,Championnat de France de Footbag 2013,"November 30-December 1, 2013","Atlantique, France",net,Carnabal Footbag,25,32,
1378928859,2013,5? Copa T?chira,"October 5-6, 2013","Táchira, Venezuela",net,Footbag T?chira Venezuela,19,24,
1379414806,2013,Czech Footbag Championships,"November 22-24, 2013","Brno, Czech Republic",freestyle,Czech Footbag Association,17,24,
1382778441,2013,Austrian Footbag Championships 2013,"December 20-21, 2013","Vienna, Austria",mixed,Footbag-Vienna,38,55,
1383076667,2014,Sweet Six-Teen - Footstar B-Day 2014,"February 1-2, 2014","Berlin, Germany",net,FC Footstar Berlin e.V.,33,38,
1386623061,2014,U. S. Open Footbag Championships 2014,"June 28-29, 2014","West Linn, Oregon, United States",freestyle,Sole Purpose,24,39,
1389338303,2014,16th Annual IFPA European Footbag Championships,"July 11-13, 2014","Turku, Finland",mixed,Footcraft,88,105,
1389613723,2014,Swiss Jam Z?rich,"March 15-16, 2014","Zurich, Switzerland",freestyle,Sole Rebels Z?rich,15,22,
1389730147,2014,Todexon 15,"April 4-6, 2014","Prague, Czech Republic",mixed,Czech Footbag Association,36,49,
1391176125,2014,Mud Island Belt 2014,"April 12-13, 2014","Center Memphis, Tennessee, United States",net,,12,17,
1391189882,2014,35th IFPA WORLD FOOTBAG CHAMPIONSHIPS,"July 27-August 2, 2014","Paris, France",worlds,Rien N'est Hacky - RNH Footbag,245,289,
1392497284,2014,3rd Czech Footbag Freestyle Meeting,"March 1-2, 2014","Ostrava, Czech Republic",freestyle,Footbag Ostrava,4,7,
1393451254,2014,bulgarian open footbag jam part 24,"May 2-4, 2014","Zagora, Bulgaria",mixed,Urban Komba,23,32,
1393501611,2014,Bembel Cup 2014,"May 30-June 1, 2014","Hessen, Germany",net,SG Frankfurt Footbag e.V.,14,17,
1394621886,2014,Paris Net Battle 2014,"April 19, 2014","Paris, France",net,Rien N'est Hacky - RNH Footbag,5,8,
1394742347,2014,Seventh Annual Windy City Cup Footbag Net Championships,"June 21-22, 2014","Chicago, Illinois, United States",net,Chicago Lake Coast Kickers,25,32,
1394773593,2014,2014 Green Cup Presented by Chaos,"May 24-25, 2014","Oakland, California, United States",mixed,Chaos Footbag Club,39,52,
1399929003,2014,"(pre-mirror event, 2014)",,,net,,10,0,synthetic_pre_mirror
1401113913,2014,16th Annual German Footbag Open,"September 6-7, 2014","Brsg., Germany",net,FC Footstar Berlin e.V.,22,29,
1401624489,2014,5th annual Helsinki Open Footbag Tournament,"June 28-29, 2014","T??l? Sports Hall Helsinki, Finland",net,Suomen Footbag Liitto ry. (Finnish Footbag Association),0,17,
1403287103,2014,Akisphere,"July 4-6, 2014","Québec, Canada",net,Aki Qu?bec,17,23,
1404123889,2014,Burgas Summer Footbag Jam VI,"August 22-24, 2014","Burgas, Bulgaria",net,Urban Komba,11,16,
1405875596,2014,32nd Annual East Coast Footbag Championships,"September 27-28, 2014","Park Brooklyn, New York, United States",mixed,New York Footbag Association,42,63,
1406219099,2014,14th Annual Polish Footbag Championships 2014,"August 22-24, 2014","Lubaczów, Poland",mixed,Lubacz?w Footbag Club,49,80,
1407335213,2014,Swiss Footbag Open,"October 17-19, 2014","Vaud, Switzerland",mixed,Les Pieds ? Gilles,45,59,
1408070192,2015,New Year's Footbag Jam,"January 3-4, 2015","Ann Arbor, Michigan, United States",freestyle,\m/ichigan footbag,0,7,
1412859519,2014,15th Anniversary of RNH Footbag (RNH Contest 2014),"November 15-16, 2014","Paris, France",net,Rien N'est Hacky - RNH Footbag,22,27,
1413607134,2014,18th Annual Finnish Footbag Open,"November 29-30, 2014","Helsinki, Finland",net,Suomen Footbag Liitto ry. (Finnish Footbag Association),28,33,
1415986036,2015,Todexon 16,"April 11, 2015","Praha-vychod, Czech Republic",freestyle,Czech Footbag Association,22,31,
1417000778,2014,RNH Winter Contest 2014,"December 13-14, 2014","Paris, France",net,Rien N'est Hacky - RNH Footbag,13,18,
1417735560,2015,36th IFPA WORLD FOOTBAG CHAMPIONSHIPS,"July 26-August 1, 2015","Copenhagen, Denmark",worlds,FootbagDenmark,265,321,
1417958417,2015,17th Annual IFPA European Footbag Championships,"June 25-28, 2015","Sofia, Bulgaria",net,Urban Komba,58,65,
1418127354,2015,Bembel Cup 2015 and 15 Years FrankfurtFootbag,"May 23-24, 2015","Hessen, Germany",net,SG Frankfurt Footbag e.V.,25,34,
1420195881,2015,17th FC Footstar anniversary,"March 7-8, 2015","Berlin, Germany",net,FC Footstar Berlin e.V.,23,29,
1421069713,2015,Bulgarian Open Footbag Jam,"May 1-3, 2015","Zagora, Bulgaria",net,Urban Komba,10,16,
1421271111,2015,8th Annual Windy City Cup Footbag Net Championships,"June 19-21, 2015","Pier Chicago, Illinois, United States",net,Chicago Lake Coast Kickers,19,24,
1422386917,2015,2015 Mud Island Belt presented by Memphis Footworks,"May 23-25, 2015","Island Memphis, Tennessee, United States",net,,16,21,
1423020874,2015,7ma Copa X-PRO,"February 28, 2015","Capital, Venezuela",net,X-PRO,39,45,
1425372477,2015,U.S. Open Footbag Championships 2015,"June 27-28, 2015","West Linn, Oregon, United States",mixed,Sole Purpose,32,54,
1427144456,2015,Lake Erie Footbag Tournament,"July 18-19, 2015","Park Erie, Pennsylvania, United States",net,FOOTBAG ERIE,10,15,
1429205408,2015,"Stanford Footbag presents: ""Cardinal Cup"" Freestyle","May 23, 2015","Stanford University @ White Plaza Palo Alto, California, USA",freestyle,Stanford University Footbag Club,0,0,
1430582557,2015,5ta Copa Venezuela,"June 27-28, 2015","Capital, Venezuela",net,X-PRO,25,30,
1430596760,2015,Akisphere 2015,"July 10-12, 2015","Québec, Canada",net,Aki Qu?bec,8,13,
1431288258,2015,Turku Open,"July 18, 2015","Turku, Finland",net,Footcraft,10,15,
1432901754,2015,Championnat de France de Footbag 2015,"July 11-12, 2015","Nantes, France",net,Carnabal Footbag,23,30,
1435110091,2015,33rd Annual East Coast Footbag Championships,"September 12-13, 2015","Park Brooklyn, New York, United States",mixed,New York Footbag Association,32,54,
1435784719,2015,The Perpetual Flame Footbag Net Challenge,"September 5-6, 2015","Capital, Venezuela",net,X-PRO,16,43,
1436878168,2015,19th Annual Finnish Footbag Open (FFA 20th anniversary special edition),"November 28-29, 2015","Helsinki, Finland",mixed,Suomen Footbag Liitto ry. (Finnish Footbag Association),37,48,
1438626750,2015,Swiss Footbag Open,"October 23-25, 2015","Vaud, Switzerland",mixed,Les Pieds ? Gilles,38,53,
1439332196,2015,XV IFPA Polish Footbag Championships,"September 12-13, 2015","Silesia, Poland",mixed,PSF Polish Footbag Association,58,89,
1444911632,2015,17th Annual German Footbag Open,"December 4-6, 2015","Hessen, Germany",mixed,SG Frankfurt Footbag e.V.,62,81,
1445178271,2015,Austrian Footbag Championships 2015,"December 18-19, 2015","Vienna, Austria",freestyle,Footbag-Vienna,16,23,
1446571794,2016,FC Footstar's 18th Anniversary,"January 29-31, 2016","Berlin, Germany",net,FC Footstar Berlin e.V.,27,32,
1447494731,2016,Lake Erie Footbag Tournament,"May 14-15, 2016","TBA Erie, Pennsylvania, United States",net,FOOTBAG ERIE,0,14,
1449217972,2015,2015 Finnish Footbag Championships in Singles Net,"December 19, 2015","Turku, Finland",net,Suomen Footbag Liitto ry. (Finnish Footbag Association),8,11,
1449259560,2016,37th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2016,"July 31-August 6, 2016","Trnava, Slovakia",worlds,Czech Footbag Association,43,63,
1453384342,2016,Bembel Cup 2016,"July 22-24, 2016","Hessen, Germany",net,SG Frankfurt Footbag e.V.,15,24,
1454371285,2016,2016 Mud Island Belt presented by Memphis Footworks,"May 28-29, 2016","Park Memphis, Tennessee, United States",net,Memphis Footworks,6,11,
1455047000,2016,9th Annual Windy City Cup Footbag Net Championships,"July 15-17, 2016","Pier Chicago, Illinois, United States",net,Chicago Lake Coast Kickers,13,18,
1458125752,2016,Bulgaria Footbag Open,"May 21-22, 2016","Zagora, Bulgaria",net,Urban Komba,12,17,
1458170459,2016,RNH Contest 2016,"April 23-24, 2016","Paris, France",net,Rien N'est Hacky - RNH Footbag,8,11,
1458772302,2016,U.S. Open Footbag Net Championships 2016,"June 25-26, 2016","West Linn, Oregon, United States",net,Sole Purpose,38,53,
1459426362,2016,Championnat de France de Footbag 2016,"May 14-15, 2016","Nantes, France",net,Carnabal Footbag,27,35,
1460640850,2016,18th Annual IFPA European Footbag Championships 2016,"June 17-19, 2016","Hessen, Germany",mixed,SG Frankfurt Footbag e.V.,85,105,
1461077179,2016,Zocha Jam 2016,"November 12-13, 2016","Wroclaw, Poland",net,PSF Polish Footbag Association,5,8,
1463511970,2016,Akisphere 2016,"July 8-10, 2016","Québec, Canada",net,Aki Qu?bec,18,23,
1464967908,2016,34th Annual East Coast Footbag Championships,"September 9-11, 2016","brooklyn, New York, United States",freestyle,New York Footbag Association,23,38,
1466891959,2016,Swiss Footbag Open 2016,"October 28-30, 2016","Vaud, Switzerland",net,Les Pieds ? Gilles,13,32,
1466942562,2016,18th Annual German Footbag Open,"October 14-16, 2016","Bremen, Germany",mixed,Freestyle Fanatics,48,65,
1467142686,2016,16th Annual Polish Footbag Championships,"September 10-11, 2016","Sl±skie, Poland",mixed,Jaworzno Footbag Club,44,67,
1471407009,2016,20th Annual Finnish Footbag Open,"November 19-20, 2016","Turku, Finland",net,Suomen Footbag Liitto ry. (Finnish Footbag Association),5,8,
1471686537,2017,38th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2017,"August 6-12, 2017","Portland, Oregon, United States",worlds,Sole Purpose,125,158,
1473853257,2016,"Malopolska Footbag Championships 2016 // Mistrzostwa Ma?opolski w Zo""k"" 2016","October 8-9, 2016","Krakow, Poland",mixed,Maniac Footbag Team,39,58,
1473932659,2016,Austrian Footbag Championships 2016,"October 21-22, 2016","Vienna, Austria",freestyle,Footbag-Vienna,18,27,
1485520697,2017,Bembel Cup 2017,"May 6-7, 2017","Hessen, Germany",net,SG Frankfurt Footbag e.V.,12,17,
1485863923,2017,17th Annual Polish Footbag Championships,"September 2-3, 2017","Lublin, Poland",mixed,PSF Polish Footbag Association,102,132,
1485967222,2017,2017 Mud Belt Presented by Memphis Footworks,"May 20-21, 2017","Peninsula Cherokee, Alabama, United States",net,Memphis Footworks,13,18,
1485970612,2017,Akisphere 2017,"July 28-30, 2017","Quebec, Canada",net,Aki Qu?bec,17,22,
1486654923,2017,RNH Contest,"April 1-2, 2017","75, France",net,Rien N'est Hacky - RNH Footbag,7,10,
1487797845,2017,19th Annual IFPA European Footbag Championships,"May 25-28, 2017","Aranjuez, Spain",mixed,,163,192,
1487800738,2017,Stara Zagora Footbag Jam 2017,"April 29-30, 2017","Zagora, Bulgaria",net,Urban Komba,6,9,
1488957997,2017,Swiss Footbag Open 2017,"October 20-22, 2017","Vaud, Switzerland",mixed,Les Pieds ? Gilles,43,57,
1489248474,2017,Lake Erie Footbag Tournament,"June 10-11, 2017","Park Erie, Pennsylvania, United States",net,FOOTBAG ERIE,1,17,
1492354286,2017,Tenth Annual Windy City Cup Footbag Net Championships,"June 24-25, 2017","Park Chicago, Illinois, United States",net,Chicago Lake Coast Kickers,14,19,
1497678985,2017,Championnat de France de Footbag 2017,"July 8-9, 2017","Nantes, France",net,Carnabal Footbag,24,32,
1498568502,2017,Austrian Footbag Championships 2017,"October 6-8, 2017","Vienna, Austria",freestyle,Footbag-Vienna,15,20,
1499025778,2017,19th Annual German Footbag Championships 2017,"November 18-19, 2017","Berlin, Germany",mixed,FC Footstar Berlin e.V.,71,84,
