event_id,city_canon,state_canon,country_canon,country_iso3,,,,,notes
876336655, Scottsdale,Arizona,United States,USA,,,,,
1254724022,Chandler,Arizona,United States,USA,,,,,
1226378339,Chandler,Arizona,United States,USA,,,,,
903632480,Field Tempe,Arizona,United States,USA,,,,,
1189467124,Phoenix,Arizona,United States,USA,,,,,
859913311,Scottsdale,Arizona,United States,USA,,,,,
933099911,Tempe,Arizona,United States,USA,,,,,
980969461,Bay Area,California,United States,USA,,,,,
857852604,Hermosa Beach,California,United States,USA,,,,,
876331623,Hermosa Beach,California,United States,USA,,,,,
949991621,Hermosa Beach,California,United States,USA,,,,,
978967004,Hermosa Beach,California,United States,USA,,,,,
1268445253,Lake Tahoe,California,United States,USA,,,,,
1015303046,Luis Obispo,California,United States,USA,,,,,
1330902233,Oakland,California,United States,USA,,,,,
1265745512,Oakland,California,United States,USA,,,,,
1102227996,Oakland,California,United States,USA,,,,,
1295120951,Oakland,California,United States,USA,,,,,
1394773593,Oakland,California,United States,USA,,,,,
1131659634,Oakland/San Francisco,California,United States,USA,,,,,
857875120,Palo Alto,California,United States,USA,,,,,
876356874,Palo Alto,California,United States,USA,,,,,
910551956,Palo Alto,California,United States,USA,,,,,
979334083,Palo Alto,California,United States,USA,,,,,
1012638214,Palo Alto,California,United States,USA,,,,,
941066992,Redwood City,California,United States,USA,,,,,
1200725314,San Diego,California,United States,USA,,,,,
937727262,San Francisco,California,United States,USA,,,,,
951771943,San Francisco,California,United States,USA,,,,,
1013283071,San Francisco,California,United States,USA,,,,,
1164845982,San Francisco,California,United States,USA,,,,,
1195585401,San Francisco,California,United States,USA,,,,,
1232474501,San Francisco,California,United States,USA,,,,,
1358271250,San Francisco,California,United States,USA,,,,,
1768623808,San Francisco,California,United States,USA,,,,,
1138601883,Santa Cruz,California,United States,USA,,,,,
1172562114,Santa Cruz,California,United States,USA,,,,,
859923755,Santa Rosa,California,United States,USA,,,,,
903468009,Hermosa Beach,California ,United States,USA,,,,,
974683678,Boulder,Colorado,United States,USA,,,,,
1137347261,Campus Denver,Colorado,United States,USA,,,,,
933115858,Campus) Boulder,Colorado,United States,USA,,,,,
1070954568,Center Denver,Colorado,United States,USA,,,,,
1036298726,Fort Collins,Colorado,United States,USA,,,,,
1163784775,Buena Vista,Florida,United States,USA,,,,,
1076952530,Atlanta,Georgia,United States,USA,,,,,
1016457376,Augusta,Georgia,United States,USA,,,,,
1044624680,Augusta,Georgia,United States,USA,,,,,
1301958487,Boise,Idaho,United States,USA,,,,,
1189535136,Boise,Idaho,United States,USA,,,,,
959353403,Pocatello,Idaho,United States,USA,,,,,
865043841,Carbondale,Illinois,United States,USA,,,,,
881872990,Carbondale,Illinois,United States,USA,,,,,
884112176,Champaign,Illinois,United States,USA,,,,,
917741782,Champaign,Illinois,United States,USA,,,,,
1255269216,Chicago,Illinois,United States,USA,,,,,
1285506605,Chicago,Illinois,United States,USA,,,,,
989875090,Chicago,Illinois,United States,USA,,,,,
