event_key,legacy_event_id,year,event_name,orig_city,orig_region,orig_country,new_city,new_region,new_country,changed,rules_applied
2005-championships-murfreesboro-usa,1125004188,2005,Tennessee Net Championships,Murfreesboro,Tennessee,United States,Murfreesboro,Tennessee,United States,no,
2005-championships-montreal-canada,1107290435,2005,The 2005 Montreal International Footbag Championships,Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2005-green-cup-presented-oakland-usa,1102227996,2005,The Green Cup Presented by Chaos,Oakland,California,United States,Oakland,California,United States,no,
2005-open-winnipeg-canada,1124840254,2005,The Hackrifice Open 2005,Winnipeg,Manitoba,Canada,Winnipeg,Manitoba,Canada,no,
2005-windchill-tournament-montreal-canada,1107289556,2005,The Windchill Footbag net tournament,Montreal,Quebec,Canada,Montreal,Quebec,Canada,no,
2005-zocha-jam-2005-wroc-aw-poland,1127155729,2005,Zocha Jam 2005,Wrocław,Lower Silesian,Poland,Wrocław,Lower Silesian,Poland,no,
2006-kc-memorial-tournament-memphis-usa,1153345992,2006,"""KC"" Memorial Footbag Tournament",Memphis,Tennessee,United States,Memphis,Tennessee,United States,no,
2006-1st-annual-north-athens-usa,1146356760,2006,1st Annual North Alabama Footbag Competition,Athens,Alabama,United States,Athens,Alabama,United States,no,
2006-championships-melbourne-australia,1121753561,2006,2006 Australian Footbag Championships,Melbourne,Victoria,Australia,Melbourne,Victoria,Australia,no,
2006-2006-green-cup-oakland-usa,1131659634,2006,2006 Green Cup Presented by Chaos,Oakland,California,United States,Oakland,California,United States,no,
2006-2006-jersey-spike-somerville-usa,1143172220,2006,2006 Jersey Spike & Shred,Somerville,New Jersey,United States,Somerville,New Jersey,United States,no,
2006-2006-southeast-regionals-murfreesboro-usa,1155788760,2006,2006 Southeast Regionals,Murfreesboro,Tennessee,United States,Murfreesboro,Tennessee,United States,no,
2006-2006-steel-city-pittsburgh-usa,1148241486,2006,2006 Steel City Shred Off,Pittsburgh,Pennsylvania,United States,Pittsburgh,Pennsylvania,United States,no,
2006-worlds-frankfurt-germany,1135116604,2006,27th IFPA WORLD FOOTBAG CHAMPIONSHIPS,Frankfurt,Hesse,Germany,Frankfurt,Hesse,Germany,no,
2006-3rd-annual-jfk-jyv-skyl-finland,1142360459,2006,3rd Annual JFK Net Battle,Jyväskylä,Central Finland,Finland,Jyväskylä,Central Finland,Finland,no,
2006-7th-annual-colorado-denver-usa,1137347261,2006,7th Annual Colorado Shred Symposium,Denver,Colorado,United States,Denver,Colorado,United States,no,
