event_key,legacy_event_id,year,event_name,city,region,country,issues
event_2001_montreal_international_footbag_net_championships_2001,991285803,2001,Montreal International Footbag Net Championships 2001,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2001_swiss_footbag_championships_footjam,981560223,2001,Swiss Footbag Championships (FootJam),Zurich,Zurich,Switzerland,DUPLICATE_CITY_REGION
event_2001_swiss_footbag_jam,980253113,2001,Swiss Footbag Jam,Zurich,Zurich,Switzerland,DUPLICATE_CITY_REGION
event_2001_vienna_footbag_festival,996678489,2001,Vienna Footbag Festival,Vienna,Vienna,Austria,DUPLICATE_CITY_REGION
event_2001_world_footbag_championships,980969461,2001,WORLD FOOTBAG CHAMPIONSHIPS,San Francisco Bay Area,California,USA,COUNTRY_ABBREV
event_2002_czech_footbag_championships,1018812342,2002,Czech Footbag Championships,Prague,Prague,Czech Republic,DUPLICATE_CITY_REGION
event_2002_quebec_city_footbag_net_championships_2002,1011291051,2002,Quebec City Footbag Net Championships 2002,Quebec City,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2003_2003_canadian_open_footbag_championships,1034985978,2003,2003 Canadian Open Footbag Championships,Vancouver,B.C.,Canada,BAD_REGION_ABBREV
event_2003_2003_montreal_international_footbag_championships,1039550946,2003,2003 Montreal International Footbag Championships,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2003_24th_annual_world_footbag_championships,1035277529,2003,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,Prague,Prague,Czech Republic,DUPLICATE_CITY_REGION
event_2003_lhivernal_the_windchill,1044952105,2003,"L'Hivernal, The Windchill",Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2003_montreal_footbag_challenge_2003,1045628278,2003,Montreal Footbag Challenge 2003,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2003_seapa_nz_freestyle_footbag_championships,1038895913,2003,Seapa NZ Freestyle Footbag Championships,Wellington,Wellington,New Zealand,DUPLICATE_CITY_REGION
event_2003_swissjam,1064245646,2003,Swissjam,Fribourg,Fribourg,Switzerland,DUPLICATE_CITY_REGION
event_2004_1_footbag_net_jam_berlin_04,1094071528,2004,1. Footbag- Net- Jam Berlin 04,Berlin,Berlin,Germany,DUPLICATE_CITY_REGION
event_2004_25th_annual_ifpa_world_footbag_championships,1069929277,2004,25th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
