event_id,year,division_canon,division_category,place,competitor_type,person_id,team_person_key,person_canon,team_display_name,coverage_flag,person_unresolved,norm,division_raw
1991_worlds,1991,Open Doubles Net,net,3,team,,ca63a7da-a00a-5a83-ae43-2e17b5758fc8|fb605451-fa41-5e6d-ad21-1b541b3fc82b,__NON_PERSON__,Mag Hughes / Steve Fennell,partial,0,open dbls net,Open Dbls Net
1991_worlds,1991,Open Singles Consecutive,net,1,player,64a7a989-aa2c-5a58-b141-e8378be4a962,,Andy Linder,,partial,0,open sgls consecutive,Open Sgls Consecutive
1991_worlds,1991,Open Singles Consecutive,net,2,player,0858e74f-3f58-51c5-8d9b-4a6f2333c08c,,Rick Reese,,partial,0,open sgls consecutive,Open Sgls Consecutive
1991_worlds,1991,Open Singles Consecutive,net,3,player,3d1b24de-41bd-56eb-86b8-8afb919a63b5,,Ted Martin,,partial,0,open sgls consecutive,Open Sgls Consecutive
1991_worlds,1991,Open Singles Freestyle,freestyle,1,player,95643c20-ec23-57a5-a742-5b44534ae959,,Brent Welch,,partial,0,open sgls freestyle,Open Sgls Freestyle
1991_worlds,1991,Open Singles Freestyle,freestyle,2,player,84641a6f-36d4-5857-af3f-827b1f57102f,,Dennis Ross,,partial,0,open sgls freestyle,Open Sgls Freestyle
1991_worlds,1991,Open Singles Freestyle,freestyle,3,player,b54020bc-1a1a-5d23-89e1-34617b3514fa,,Jim Fitzgerald,,partial,0,open sgls freestyle,Open Sgls Freestyle
1991_worlds,1991,Open Singles Net,net,1,player,fb605451-fa41-5e6d-ad21-1b541b3fc82b,,Steve Fennell,,partial,0,open sgls net,Open Sgls Net
1991_worlds,1991,Open Singles Net,net,2,player,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,,Dave Robinson,,partial,0,open sgls net,Open Sgls Net
1991_worlds,1991,Open Singles Net,net,3,player,b54020bc-1a1a-5d23-89e1-34617b3514fa,,Jim Fitzgerald,,partial,0,open sgls net,Open Sgls Net
1991_worlds,1991,Open Team Freestyle,freestyle,1,team,,b54020bc-1a1a-5d23-89e1-34617b3514fa|b7c2a69b-7547-5ee6-936e-b675c748d131,__NON_PERSON__,Jim Fitzgerald / Jack Schoolcraft,partial,0,open team freestyle,Open Team Freestyle
1991_worlds,1991,Open Team Freestyle,freestyle,2,team,,777d9449-6e41-5985-bb7d-cdaf8647ef9c|64a7a989-aa2c-5a58-b141-e8378be4a962,__NON_PERSON__,Scott Cleere / Andy Linder,partial,0,open team freestyle,Open Team Freestyle
1991_worlds,1991,Open Team Freestyle,freestyle,3,team,,95643c20-ec23-57a5-a742-5b44534ae959|40fa16ff-a418-5da9-914e-3a09e231f2a7,__NON_PERSON__,Brent Welch / Bill Langbehn,partial,0,open team freestyle,Open Team Freestyle
1991_worlds,1991,Women's Doubles Net,net,1,team,,eccb075a-3997-5288-a805-774d358f5656|26349aa8-a1ff-5e6a-bff5-f93a89d20c68,__NON_PERSON__,Nancy Reynolds / Tricia George,partial,0,women s dbls net,Women's Dbls Net
1991_worlds,1991,Women's Doubles Net,net,2,team,,826201f8-2540-5663-9bbf-239e94ccee43|2224d6ba-5be4-56a5-90e1-aaa61a15bcb0,__NON_PERSON__,Constance Constable / Jodi Sebastian,partial,0,women s dbls net,Women's Dbls Net
1991_worlds,1991,Women's Doubles Net,net,3,team,,3c09d4cc-2da9-5e1f-8a4c-e44ca0542f82|669a3821-2547-5215-9edd-7965ff400e69,__NON_PERSON__,Suzanne Beauchemin / Linda Burt,partial,0,women s dbls net,Women's Dbls Net
1991_worlds,1991,Women's Overall,net,1,player,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,,Tricia George,,partial,0,women s overall,Women's Overall
1991_worlds,1991,Women's Singles Net,net,1,player,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,,Tricia George,,partial,0,women s sgls net,Women's Sgls Net
1991_worlds,1991,Women's Singles Net,net,2,player,eccb075a-3997-5288-a805-774d358f5656,,Nancy Reynolds,,partial,0,women s sgls net,Women's Sgls Net
