qc_rule,qc_detail,event_id,year,division_canon,place,person_canon,norm
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,961626997,2000,Open Doubles,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,989875090,2001,30 Second Shred,2,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,989875090,2001,30 Second Shred,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,999985344,2001,Footbag Net Estonia,4,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,947196813,2000,Net Open Mens Doubles,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,859787898,1997,Open Doubles,2,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,980969461,2001,Open Doubles Net,7,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,980969461,2001,Open Doubles Net,13,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,980969461,2001,Open Doubles Net,19,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,980969461,2001,Open Mixed Doubles Net,11,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1262288759,2010,Intermediate Doubles,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1069929277,2004,Mixed Doubles Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1069929277,2004,Mixed Doubles Net,7,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1069929277,2004,Mixed Doubles Net,10,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1069929277,2004,Mixed Doubles Net,13,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1069929277,2004,Intermediate Doubles Net,7,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1163784775,2007,Open Doubles Net,19,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1163784775,2007,Open Doubles Net,21,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1163784775,2007,Mixed Doubles Net,7,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1163784775,2007,Mixed Doubles Net,10,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1163784775,2007,Masters Doubles Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1183729267,2007,Mini-Net / Foot-C,3,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1194517448,2008,Intermediate Doubles Net,5,__NON_PERSON__,
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,1194517448,2008,Intermediate Doubles Net,7,__NON_PERSON__,
