event_id,year,division_canon,division_category,place,competitor_type,person_id,team_person_key,person_canon,team_display_name,coverage_flag,person_unresolved
1362598500,2013,Open Doubles Net,net,13,team,27d1fe0b-354c-541d-984a-61ef8c92f96f|82d71601-f3dc-5514-ab7b-4e48acd93833,27d1fe0b-354c-541d-984a-61ef8c92f96f|82d71601-f3dc-5514-ab7b-4e48acd93833,__NON_PERSON__,Kerstin Adineh / Christophe Spooner,complete,
1362598500,2013,Open Doubles Net,net,14,team,157f3e7c-c772-5ab1-adf9-e607ccca17b2|?,157f3e7c-c772-5ab1-adf9-e607ccca17b2,__NON_PERSON__,Thibault Rehn / Marie,complete,
1362598500,2013,Open Doubles Net,net,2,team,563baddd-8bf2-576f-b915-19fe76431eaa|c312c02d-8a8c-5c73-8b68-65fc9e3fa453,563baddd-8bf2-576f-b915-19fe76431eaa|c312c02d-8a8c-5c73-8b68-65fc9e3fa453,__NON_PERSON__,Gilles Demers / Benjamin Rochon,complete,
1362598500,2013,Open Doubles Net,net,3,team,7d094f73-d2d9-5f99-9b73-6593696c90ef|c7a23f15-f2ed-5f2b-ac50-bb1adb185475,7d094f73-d2d9-5f99-9b73-6593696c90ef|c7a23f15-f2ed-5f2b-ac50-bb1adb185475,__NON_PERSON__,Quentin Isackson / Greg Lima,complete,
1362598500,2013,Open Doubles Net,net,4,team,1ef51b9d-a795-592e-8d0c-46184f784bf4|ecf4cab4-a4f2-549d-85fb-5d8528db3948,1ef51b9d-a795-592e-8d0c-46184f784bf4|ecf4cab4-a4f2-549d-85fb-5d8528db3948,__NON_PERSON__,Phil Schaefer / Tammo Rockel,complete,
1362598500,2013,Open Doubles Net,net,5,team,691f48a0-1dbd-5ef5-99ea-13615a7437d2|?,691f48a0-1dbd-5ef5-99ea-13615a7437d2,__NON_PERSON__,Yves Archambault / Carl,complete,
1362598500,2013,Open Doubles Net,net,6,team,6d50650f-7f41-5484-894f-74986085f48b|d0fd4b0a-a59e-525d-a918-eefb16c70e80,6d50650f-7f41-5484-894f-74986085f48b|d0fd4b0a-a59e-525d-a918-eefb16c70e80,__NON_PERSON__,Martin Côté / Martin Graton,complete,
1362598500,2013,Open Doubles Net,net,7,team,1c3a4a2b-31a8-5dd9-98f7-ee6c30ebcc29|2367d506-3a7b-5532-9c55-3f970c46cf8c,1c3a4a2b-31a8-5dd9-98f7-ee6c30ebcc29|2367d506-3a7b-5532-9c55-3f970c46cf8c,__NON_PERSON__,Dominic O'Brien / Dominique Soulard,complete,
1362598500,2013,Open Doubles Net,net,8,team,3ef63282-9e9c-5f57-94c5-e1b5c4fe8c3c|bb4a96be-f5b0-518a-a83d-2512486db5a6,3ef63282-9e9c-5f57-94c5-e1b5c4fe8c3c|bb4a96be-f5b0-518a-a83d-2512486db5a6,__NON_PERSON__,Emmanuel Bouchard / Renaud Fanoni,complete,
1362598500,2013,Open Doubles Net,net,9,team,40a3babb-8d9d-522c-8cbf-9f221bbc5903|6f69628f-6e43-53b9-91a6-0bff36dc6ee7,40a3babb-8d9d-522c-8cbf-9f221bbc5903|6f69628f-6e43-53b9-91a6-0bff36dc6ee7,__NON_PERSON__,Marilyn Demuy / Christian Bock,complete,
