event_id,year,stage2_placements,flat_placements,delta_flat_minus_stage2
1628024472,2021,10,10,0
1628025574,2021,26,26,0
1628025851,2020,21,21,0
1628596712,2021,2,2,0
1634665636,2021,36,36,0
1634938934,2021,6,4,-2
1635599636,2021,10,10,0
1643478787,2021,9,9,0
1645025950,2022,9,9,0
1645621833,2022,11,10,-1
1646387871,2022,120,120,0
1646855336,2022,51,51,0
1647508742,2022,26,26,0
1649177702,2022,16,16,0
1649326445,2022,7,7,0
1653152207,2022,19,18,-1
1653647467,2022,5,4,-1
1657486956,2022,5,4,-1
1664206719,,20,0,-20
1667566506,2022,13,13,0
1668541701,2022,47,44,-3
1669556651,2022,5,4,-1
1673723574,2023,10,9,-1
1677285621,2023,8,6,-2
1677937557,2023,11,9,-2
1678957450,2023,141,141,0
1686926080,2023,29,29,0
1688144863,2023,17,17,0
1690897570,2023,3,3,0
1692508794,2023,6,6,0
1694170899,2023,84,79,-5
1694868513,2023,26,26,0
1695501837,2023,10,10,0
1697391704,2023,81,81,0
1699593640,2023,50,48,-2
1699709080,2023,12,12,0
1700920831,2023,15,15,0
1706036811,2024,168,166,-2
1706536250,2024,12,12,0
1709070838,2024,27,27,0
1709496969,2024,19,19,0
1711181388,2024,8,8,0
1711182054,2024,21,21,0
1713276656,2024,26,26,0
1719166875,2024,31,31,0
1721038326,2024,22,22,0
1721320739,2024,21,21,0
1721817655,2024,8,6,-2
1721923932,2024,3,3,0
1722339396,2024,9,9,0
1727756195,2024,61,60,-1
1728058298,2024,7,7,0
1728384115,2024,4,4,0
1730420667,2024,11,11,0
1733755410,2024,8,8,0
1736265216,2025,5,5,0
1737312020,,2,0,-2
1738446800,2025,60,60,0
1739036206,2025,16,6,-10
1740391168,2025,60,57,-3
1740419380,2025,42,41,-1
1741024635,2025,209,205,-4
1742511366,2025,10,7,-3
1745298933,2025,8,8,0
1745686591,2025,7,6,-1
1746737817,2025,22,21,-1
1749326277,2025,29,29,0
1750356087,2025,28,28,0
1751568193,2025,75,74,-1
1752525121,2025,3,3,0
1753997172,2025,22,22,0
1756448770,2025,16,16,0
1759558836,2025,4,4,0
1760495074,2025,8,8,0
1765581778,2025,5,5,0
1770923654,2026,5,5,0
2001980001,1980,8,8,0
2001981001,1981,15,14,-1
2001982001,1982,24,24,0
2001982002,1982,3,3,0
2001983001,1983,27,27,0
2001983002,1983,6,6,0
2001983003,1983,22,22,0
2001983004,1983,6,6,0
2001984001,1984,54,54,0
2001984002,1984,6,6,0
2001985001,1985,53,53,0
2001985002,1985,6,6,0
2001986001,1986,6,6,0
