event_id,event_name,original_location,normalized_location,reason
1519215398,39th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2018,"Sofia, Bulgaria","Sofia, Sofia-Grad, Bulgaria",region_added
1139778550,Swedish Open Footbag Net,"Stockholm, Sweden","Stockholm, Stockholm County, Sweden",region_added
1235653935,11th Annual IFPA European Footbag Championships - Strzelin,"Strzelin, Poland","Strzelin, Lower Silesian, Poland",region_added
1366375326,WSF Stare Babice Footbag Jam 2013,"Suburb, Poland","Warsaw, Masovian, Poland",region_added
1526583313,Refaski Cup 2018,"Tabor, Czech Republic","Tábor, South Bohemian, Czech Republic",region_added
1635599636,Refaski Cup 2021,"Tabor, Czech Republic","Tábor, South Bohemian, Czech Republic",region_added
1667566506,Refaski Cup 2022,"Tabor, Czech Republic","Tábor, South Bohemian, Czech Republic",region_added
1699709080,Refaski Cup 2023 aneb JINDRA Kicks with us,"Tabor, Czech Republic","Tábor, South Bohemian, Czech Republic",region_added
1728058298,Memorial Jindra Smoly - Refaski Cup 10,"Tabor, Czech Republic","Tábor, South Bohemian, Czech Republic",region_added
1759558836,Memorial Jindry Smoly-Refaski cup 11,"Tabor, Czech Republic","Tábor, South Bohemian, Czech Republic",region_added
1226205667,2nd IFPA South American Footbag Championships,"Tachira, Venezuela","San Cristóbal, Táchira, Venezuela",region_added
1267469140,Footcamp 2010,"Tachira, Venezuela","San Cristóbal, Táchira, Venezuela",region_added
1285989828,Footbag Táchira Cup (Copa Tachira),"Tachira, Venezuela","San Cristóbal, Táchira, Venezuela",region_added
1301104070,Footcamp 2011,"Tachira, Venezuela","San Cristóbal, Táchira, Venezuela",region_added
1314323534,5to Campeonato Suramericano de Footbag,"Tachira, Venezuela","San Cristóbal, Táchira, Venezuela",region_added
1314328055,3ra Copa Táchira de Footbag,"Tachira, Venezuela","San Cristóbal, Táchira, Venezuela",region_added
1335761071,6to Torneo FootCamp,"Tachira, Venezuela","San Cristóbal, Táchira, Venezuela",region_added
1348929718,4ta Copa Táchira de Footbag,"Tachira, Venezuela","San Cristóbal, Táchira, Venezuela",region_added
1361239371,Copa San Sebastián,"Tachira, Venezuela","San Cristóbal, Táchira, Venezuela",region_added
1361239920,FOOTCAMP 2013,"Tachira, Venezuela","San Cristóbal, Táchira, Venezuela",region_added
1378928859,5º Copa Táchira,"Tachira, Venezuela","San Cristóbal, Táchira, Venezuela",region_added
1449259560,37th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2016,"Trnava, Slovakia","Trnava, Trnava, Slovakia",region_added
937854594,Turku Tournee 1999,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
955831740,Turku Open 2000,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
990512631,3rd annual Turku International Open Championships 2001 Finland,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1001076315,5th Annual Finnish Footbag Championships,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1050067583,Turku Open,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1063788560,Finnish Footbag Championships 2003,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
1080896073,Turku Open 2004,"Turku, Finland","Turku, Southwest Finland, Finland",region_added
