alias,canonical,alias_count,canonical_count_in_pf,alias_years,canonical_years,shared_events,shared_event_ids_sample,alias_event_ids_sample,canonical_event_ids_sample,score,reasons
Robin,Robin Puchel,1,32,2009,2006..2022 (12 yrs),0,,1257621700,"1135116604,1226679678,1282224512,1294262550,1295262886",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Roy,Roy Klein,1,6,2004,"2011,2013,2015",0,,1079444598,"1293877677,1361207019,1417735560",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Roy,Roy Newman,1,3,2004,"1998,1999,2001",0,,1079444598,"876331623,937727262,979334083",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Sam,Sam Barker,1,1,2008,1999,0,,1206161350,931840905,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Sam,Sam Cloutier,1,2,2008,"2004,2007",0,,1206161350,"1069929277,1182542776",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Sam,Sam Colclough,1,7,2008,"1999,2000,2001",0,,1206161350,"937727262,949991621,974683678,978967004,980969461",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Sam,Sam Gregory,1,12,2008,"1999,2001,2008,2009",0,,1206161350,"1189467124,1193783964,1226378339,1229435305,1232474501",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Sam,Sam Hogan,1,2,2008,2017,0,,1206161350,"1485967222,1489248474",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Sam,Sam Hufschmid,1,1,2008,2005,0,,1206161350,1097686137,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Sam,Sam Maleki,1,18,2008,1999..2025 (10 yrs),0,,1206161350,"1035277529,1064330873,1071060801,1135116604,1137942486",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Sam,Sam O'Leary,1,1,2008,2000,0,,1206161350,947196813,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Sam,Sam Potter,1,4,2008,2007,0,,1206161350,"1163784775,1176318174",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Sam,Sam Pride,1,1,2008,2002,0,,1206161350,1016457376,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Schmidt,Schmidt Matthias,1,4,2003,"2004,2017,2023",0,,1035277529,"1079605499,1089373321,1499025778,1678957450",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Seb,Seb Lefay,1,1,2010,2014,0,,1268445253,1417000778,7,"prefix_match,token_subset,rare_alias,canon_more_common"
