person_id,person_canon,source_scope,ifpa_member_id,bap_member,bap_year,bap_nickname,fbhof_member,fbhof_year,source,confidence,notes
f06dc40d-e92e-5784-9269-cf25a77b450e,Gale Bigler,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
f8bd392f-8e8a-5fd4-8ef1-006d2c3e1e0b,John East,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
fb605451-fa41-5e6d-ad21-1b541b3fc82b,Steve Femmel,POST1997,11983,N,,,N,,persons.csv (post-1997 canonical),HIGH,
fb644300-e5a4-51ca-962f-e59dad795b03,Pat Castle,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
fdf8022e-1b76-57e0-a06b-b0fbe66e7f26,Marie Elsner,POST1997,,N,,,N,,persons.csv (post-1997 canonical),HIGH,
face7f79-7983-5032-a0de-d238eeb55bb2,Colin Cowles,PRE1997_ONLY,,,,,,,PRE1997_ONLY (no post-1997 record),N/A,Pre-1997 only player; not in post-1997 Persons_Truth
d86e1aad-2058-5773-95eb-c5fd05217112,Doug Little,PRE1997_ONLY,,,,,,,PRE1997_ONLY (no post-1997 record),N/A,Pre-1997 only player; not in post-1997 Persons_Truth
d84a8f26-14f2-5966-b09c-971a685c6c50,James Stallcup,PRE1997_ONLY,,,,,,,PRE1997_ONLY (no post-1997 record),N/A,Pre-1997 only player; not in post-1997 Persons_Truth
6448a460-2f45-5a41-879d-f967d87e8a5c,Jan-Olof Karlsson,PRE1997_ONLY,,,,,,,PRE1997_ONLY (no post-1997 record),N/A,Pre-1997 only player; not in post-1997 Persons_Truth
86de3135-51c7-5ad5-9144-112f984acd3f,Karen Atgopian,PRE1997_ONLY,,,,,,,PRE1997_ONLY (no post-1997 record),N/A,Pre-1997 only player; not in post-1997 Persons_Truth
4b3d47c0-977c-5285-a31f-b3c2f33428a8,Karen Uppinghouse,PRE1997_ONLY,,,,,,,PRE1997_ONLY (no post-1997 record),N/A,Pre-1997 only player; not in post-1997 Persons_Truth
03bcdedb-b187-5ef3-ba2d-e371c1cada15,Ken Eldrick,PRE1997_ONLY,,,,,,,PRE1997_ONLY (no post-1997 record),N/A,Pre-1997 only player; not in post-1997 Persons_Truth
bf2fefd4-7e20-5b87-84ba-056eac2bb001,Kevin Gaunce,PRE1997_ONLY,,,,,,,PRE1997_ONLY (no post-1997 record),N/A,Pre-1997 only player; not in post-1997 Persons_Truth
d91dcdc5-e286-538b-984c-1eb0fb6d5bc4,Randy Nelson,PRE1997_ONLY,,,,,,,PRE1997_ONLY (no post-1997 record),N/A,Pre-1997 only player; not in post-1997 Persons_Truth
046fa84f-2797-5d25-866e-4d04c12880dd,Randy Ross,PRE1997_ONLY,,,,,,,PRE1997_ONLY (no post-1997 record),N/A,Pre-1997 only player; not in post-1997 Persons_Truth
e0682f82-69f2-5395-bf80-1f7c9a2e2cad,Sindre Madsen,PRE1997_ONLY,,,,,,,PRE1997_ONLY (no post-1997 record),N/A,Pre-1997 only player; not in post-1997 Persons_Truth
7d9fad30-f7f8-569b-b27d-7ef146e35653,Steve Brown,PRE1997_ONLY,,,,,,,PRE1997_ONLY (no post-1997 record),N/A,Pre-1997 only player; not in post-1997 Persons_Truth
ecd4e14c-7ddf-560c-8cd0-ec10bedf4095,Ted Johnson,PRE1997_ONLY,,,,,,,PRE1997_ONLY (no post-1997 record),N/A,Pre-1997 only player; not in post-1997 Persons_Truth
42b5c8be-9cb5-5b3b-b167-13fd86b35ca4,Torgeir Rygh,PRE1997_ONLY,,,,,,,PRE1997_ONLY (no post-1997 record),N/A,Pre-1997 only player; not in post-1997 Persons_Truth
df329352-6f3b-5e98-b23b-1af6737d100b,Jimmy Caveney,POST1997,,N,,,Y,2000,persons.csv (post-1997 canonical),HIGH,
2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,POST1997,20439,Y,1992,The Enforcer,Y,1999,persons.csv (post-1997 canonical),HIGH,
f38e2f8e-cba6-5fff-8b20-90791fd0d794,Torben Wigger,POST1997,,N,,,Y,1999,persons.csv (post-1997 canonical),HIGH,
3d1b24de-41bd-56eb-86b8-8afb919a63b5,Ted Martin,POST1997,82401,N,,,Y,,persons.csv (post-1997 canonical),HIGH,
