person_id,person_canon,style_mentions_total,distinct_style_terms,atomic,blazing,ducking,gyro,pixie,spinning,stepping,symposium,tapping
26098074-1c3e-5e3c-8c61-2b7eb8f32eda,Reid Strieller,1,1,0,0,0,0,0,1,0,0,0
ab216b72-e80d-526e-ba50-e8dd93866623,Ricky Moran,1,1,0,0,1,0,0,0,0,0,0
218b51ae-f5be-5230-bb26-10aa2981036c,Riku Ahola,1,1,0,0,0,0,0,0,0,1,0
02e78072-c966-56b4-8a92-f64bb3b778cd,Rob Fuller,1,1,0,0,1,0,0,0,0,0,0
71475c85-2292-5764-b481-1c24bd73bda6,Robinson Sustrac,1,1,0,0,0,0,0,0,0,1,0
39dac0e1-9d56-515a-b0a9-2c64055c08e8,Ronny Schimmel,1,1,0,0,1,0,0,0,0,0,0
4cf390be-81e9-586c-95c7-aa90dd752ba8,Ryan Mulroney,1,1,0,0,0,0,0,0,0,1,0
a6250c4f-61e5-541c-994d-c39f2d43beb7,Sean Thompson,1,1,0,0,1,0,0,0,0,0,0
ef2c88aa-ab9e-58d1-b4c9-1374e77859eb,Sebastian Ceballos,1,1,0,0,1,0,0,0,0,0,0
0f60f82c-75c9-552f-b962-5832d5cda779,Sergio Garcia,1,1,0,0,0,0,0,0,0,0,1
78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,1,1,0,0,0,0,0,0,0,1,0
513c8bcf-4c53-5b90-8c71-a823c1f917a2,Stu Sapia,1,1,0,0,0,0,1,0,0,0,0
5dd45023-8247-57f7-be12-df4702a96951,Tom Kotsakos,1,1,0,0,0,1,0,0,0,0,0
8d376e28-be86-516e-9b65-b313e8085989,Tomas Konecny,1,1,0,0,1,0,0,0,0,0,0
28565dd0-2196-5404-bf23-6cf0617ce79b,Tuan Vu,1,1,0,0,0,0,0,1,0,0,0
171e6321-c025-5483-af9d-c92b2ee04806,Tuomas Riisalo,1,1,0,0,0,0,0,0,0,1,0
ac1ba46f-f0b2-522d-839c-6b342f20719f,Weber Honza,1,1,0,0,0,0,1,0,0,0,0
457cdaa2-3ec3-5aed-b340-708420125d7c,Will Digges,1,1,0,0,0,0,1,0,0,0,0
0c38b19f-43e0-57ab-9f24-a19fdfeefabb,Wojtek Ignaczak,1,1,0,0,0,0,0,0,1,0,0
