person_id,person_canon,unique_tricks,total_tricks,diversity_ratio,compound_tricks,modifier_tokens,top_tricks,year_first,year_last
4e7dc073-b469-5740-821c-76e0ee26a3d1,Dan Greer,1,1,1.0,1,0,clipper,2007,2007
5dd45023-8247-57f7-be12-df4702a96951,Tom Kotsakos,1,1,1.0,0,1,gyro,2010,2010
5e7aee36-aee8-5e0f-8ba5-3e955de284f3,Timo Aarnio,1,1,1.0,1,0,butterfly,2001,2001
6694222e-0569-530d-a4f2-c7b12aab7a93,Patryk Tenderenda,1,1,1.0,1,0,drifter,2012,2012
6c84f5b5-7da4-5b72-bdd7-453421a3c3d8,Tina Aeberli,1,1,1.0,1,0,swirl,2005,2005
6f5650e6-0134-57af-8400-e9c3ce72e333,Steve Cline,1,1,1.0,1,0,paradox whirl,2008,2008
74978bc4-6b20-544a-8fa1-cf37ec444c4f,Dexter Struz,1,1,1.0,1,0,whirl,2006,2006
766ba8a6-f9b8-5be2-b501-6a034451d8ac,Aaron Orton,1,1,1.0,1,0,blender,2007,2007
7a8314b4-2af9-584d-bd79-4af7a74d9c21,Jakub Mosciszewski,1,1,1.0,0,1,pixie,2022,2022
7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,1,1,1.0,0,1,pixie,2017,2017
7a8ebf46-3df4-5114-9913-7154c9e52708,Pekka Raitio,1,1,1.0,1,0,blurry symposium whirl,2001,2001
7e031708-3cc3-5262-bf0c-0fa9c10a67bc,Egorov Andrey,1,1,1.0,1,0,blurry whirl,2009,2009
80b8a17d-8f44-5571-881e-cd86f3c5c49e,Jochen Bauer,1,1,1.0,1,0,ripwalk,2004,2004
81a671cd-b6f6-5d6e-997e-21d885cf8ae8,Caro Bourgouin,1,1,1.0,1,0,paradox drifter,2008,2008
9082387f-8ab5-5fc8-8017-e9d13731aeb8,Worek Jakub,1,1,1.0,1,0,eggbeater,2007,2007
94439b1d-8eff-55ce-8c58-05cb5817dfb3,Chris Hall,1,1,1.0,1,0,butterfly,2006,2006
9585ffd8-cc96-528e-ba4a-4211da8cef00,Rene Ruehr,1,1,1.0,1,0,paradox torque,2012,2012
96456a6d-5895-58ab-8175-9408424e79d1,Brett Campbell,1,1,1.0,1,0,fog,2005,2005
9e51cb21-c122-54b7-93a6-8f5a3b69365c,Dominik Knoll,1,1,1.0,1,0,whirl,2009,2009
a30a44d6-6530-58da-acdf-d101c8749f76,Mike Sheridan,1,1,1.0,1,0,pickup,1999,1999
a67698e9-2dd8-5853-b75a-3c6e535d7610,Red Fred Husted,1,1,1.0,1,0,ripwalk,2004,2004
aefb17e0-f604-552c-8584-02e84b558563,Taku Miura,1,1,1.0,1,0,dimwalk,2021,2021
bd1ac97c-6c20-5bcd-9fbd-f5279f4c22bf,Chris Seibert,1,1,1.0,0,1,atomic,2004,2004
be0dcefe-ced0-5fe3-92c3-9083e1c384d0,Iain McKechnie,1,1,1.0,1,0,clipper,1997,1997
e1b0b026-9914-5ebb-8321-fe835ac96c25,Scott Bevier,1,1,1.0,1,0,blurry whirl,2007,2007
ff11acf4-ec1e-5574-b33d-febf3bbd0bf6,Scott Ellenberger,1,1,1.0,1,0,smear,2007,2007
