chain_id,event_id,year,person_id,person_canon,attribution_confidence,sequence_index,trick_canon,adds,score_method
1391189882_216,1391189882,2014,87216aed-3048-50f7-8c54-d7e9e7bb52f3,Philippe Lessard,context_window,2,swirl,3.0,direct
1391189882_217,1391189882,2014,87216aed-3048-50f7-8c54-d7e9e7bb52f3,Philippe Lessard,context_window,0,ducking,,unscored
1391189882_217,1391189882,2014,87216aed-3048-50f7-8c54-d7e9e7bb52f3,Philippe Lessard,context_window,1,spinning,,unscored
1391189882_220,1391189882,2014,87216aed-3048-50f7-8c54-d7e9e7bb52f3,Philippe Lessard,context_window,0,blurry whirl,5.0,direct
1391189882_220,1391189882,2014,87216aed-3048-50f7-8c54-d7e9e7bb52f3,Philippe Lessard,context_window,1,whirl,3.0,direct
1391189882_221,1391189882,2014,87216aed-3048-50f7-8c54-d7e9e7bb52f3,Philippe Lessard,context_window,0,stepping,,unscored
1391189882_221,1391189882,2014,87216aed-3048-50f7-8c54-d7e9e7bb52f3,Philippe Lessard,context_window,1,dimwalk,4.0,direct
1391189882_222,1391189882,2014,87216aed-3048-50f7-8c54-d7e9e7bb52f3,Philippe Lessard,context_window,0,legover,2.0,direct
1391189882_222,1391189882,2014,87216aed-3048-50f7-8c54-d7e9e7bb52f3,Philippe Lessard,context_window,1,clipper,2.0,direct
1391189882_223,1391189882,2014,87216aed-3048-50f7-8c54-d7e9e7bb52f3,Philippe Lessard,context_window,0,clipper,2.0,direct
1391189882_223,1391189882,2014,87216aed-3048-50f7-8c54-d7e9e7bb52f3,Philippe Lessard,context_window,1,ducking mirage,3.0,direct
1394773593_40,1394773593,2014,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,0,ducking osis,4.0,direct
1394773593_40,1394773593,2014,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,1,mobius,5.0,direct
1394773593_41,1394773593,2014,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,0,blurry whirl,5.0,direct
1394773593_41,1394773593,2014,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,1,blur,4.0,direct
1394773593_42,1394773593,2014,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,0,paradox whirl,4.0,direct
1394773593_42,1394773593,2014,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,1,paradox whirl,4.0,direct
1394773593_42,1394773593,2014,820cd94f-96f9-5bac-bc27-a2fa9f7332da,Jasper Shults,context_window,2,barfly,4.0,direct
1417735560_214,1417735560,2015,40a3babb-8d9d-522c-8cbf-9f221bbc5903,Marilyn Demuy,context_window,0,pickup,2.0,direct
