result_id,canonical_event_id,division_raw,place,player_raw,team_raw,source_event_id,source_type
45b3aa75f0,1987_worlds_golden,Women's Sgls Net,3,Nancy Reynolds,,0178c65039,FBW
0acde5f131,1987_worlds_golden,Women's Dbls Net,1,,Nancy Reynolds/Tricia George,0178c65039,FBW
32fb6ac835,1987_worlds_golden,Women's Dbls Net,2,,Constance Constable/Jodi Sebastian,0178c65039,FBW
23fc6dc863,1987_worlds_golden,Women's Dbls Net,3,,Suzanne Beauchemin/Linda Burt,0178c65039,FBW
9cc53184dd,1987_worlds_golden,Open Team Freestyle,1,,Jim Fitzgerald/Jack Schoolcraft,0178c65039,FBW
e14d194aeb,1987_worlds_golden,Open Team Freestyle,2,,Bruce Guettich/Greg Cortopassi,0178c65039,FBW
db57deeee9,1987_worlds_golden,Open Team Freestyle,3,,Scott Cleere/Bill Bethurum,0178c65039,FBW
3be61a5185,1989_worlds_golden,Men's Overall,1,Kenny Shults,,b96b9c63a4,FBW
31a6881708,1989_worlds_golden,Women's Overall,1,Tricia George,,b96b9c63a4,FBW
4ee03dc5a9,1989_worlds_golden,Open Sgls Net,1,Dave Robinson,,b96b9c63a4,FBW
cbb22bf476,1989_worlds_golden,Open Sgls Net,2,Mag Hughes,,b96b9c63a4,FBW
85c59890db,1989_worlds_golden,Open Sgls Net,3,Jim Fitzgerald,,b96b9c63a4,FBW
8a09448b8f,1989_worlds_golden,Open Dbls Net,1,,Kenny Shults/Mike Harding,b96b9c63a4,FBW
53e6c36adc,1989_worlds_golden,Open Dbls Net,2,,Dave Robinson/Kevin Courtney,b96b9c63a4,FBW
4e928577ed,1989_worlds_golden,Open Dbls Net,3,,Mag Hughes/Jim Fitzgerald,b96b9c63a4,FBW
f68c23734b,1989_worlds_golden,Women's Sgls Net,1,Tricia George,,b96b9c63a4,FBW
0273d4e471,1989_worlds_golden,Women's Sgls Net,2,Nancy Reynolds,,b96b9c63a4,FBW
5c351124cd,1989_worlds_golden,Women's Sgls Net,3,Jodi Sebastian,,b96b9c63a4,FBW
ccaeb4e7ba,1989_worlds_golden,Women's Dbls Net,1,,Nancy Reynolds/Tricia George,b96b9c63a4,FBW
0eaf15f889,1989_worlds_golden,Women's Dbls Net,2,,Constance Constable/Jodi Sebastian,b96b9c63a4,FBW
41bb2e9a79,1989_worlds_golden,Women's Dbls Net,3,,Suzanne Beauchemin/Linda Burt,b96b9c63a4,FBW
8452dd083f,1989_worlds_golden,Mixed Dbls Net,1,,Tricia George/Dave Robinson,b96b9c63a4,FBW
07b90ec8b5,1989_worlds_golden,Mixed Dbls Net,2,,Nancy Reynolds/Mag Hughes,b96b9c63a4,FBW
b45dcc9caa,1989_worlds_golden,Mixed Dbls Net,3,,Suzanne Beauchemin/Greg Cortopassi,b96b9c63a4,FBW
96b2e4ebc6,1989_worlds_golden,Open Sgls Freestyle,1,Kenny Shults,,b96b9c63a4,FBW
a4f5089357,1989_worlds_golden,Open Sgls Freestyle,2,Dennis Ross,,b96b9c63a4,FBW
7ab00f0526,1989_worlds_golden,Open Sgls Freestyle,3,Brent Welch,,b96b9c63a4,FBW
a1cdd3b8e8,1989_worlds_golden,Open Team Freestyle,1,,Jim Fitzgerald/Jack Schoolcraft,b96b9c63a4,FBW
0902659759,1989_worlds_golden,Open Team Freestyle,2,,Bruce Guettich/Greg Cortopassi,b96b9c63a4,FBW
5e60d67cc0,1989_worlds_golden,Open Team Freestyle,3,,Scott Cleere/Brent Welch,b96b9c63a4,FBW
7d648aa282,1989_worlds_golden,Open Sgls Consecutive,1,Andy Linder,,b96b9c63a4,FBW
dd2c751001,1989_worlds_golden,Open Sgls Consecutive,2,John Lind,,b96b9c63a4,FBW
4c68812b66,1989_worlds_golden,Open Sgls Consecutive,3,Greg Cortopassi,,b96b9c63a4,FBW
5d6f336445,1989_worlds_golden,Open Dbls Consecutive,1,,Jack Schoolcraft/Pat Castle,b96b9c63a4,FBW
206a30ad80,1989_worlds_golden,Open Dbls Consecutive,2,,Jon Lind/Dennis Ross,b96b9c63a4,FBW
8f2f80ce78,1989_worlds_golden,Open Dbls Consecutive,3,,Chris Ott/Dave Robinson,b96b9c63a4,FBW
c071c5ccf8,1990_worlds,Men's Overall,1,Dave Robinson,,b7e7f86a9d,FBW
215edcf347,1990_worlds,Women's Overall,1,Tricia George,,b7e7f86a9d,FBW
faa81a8cb1,1990_worlds,Open Sgls Net,1,Mag Hughes,,b7e7f86a9d,FBW
dff0dd1f29,1990_worlds,Open Sgls Net,2,Dave Robinson,,b7e7f86a9d,FBW
8104ba4073,1990_worlds,Open Sgls Net,3,Steve Fennell,,b7e7f86a9d,FBW
1e27753546,1990_worlds,Open Dbls Net,1,,Kenny Shults/Mike Harding,b7e7f86a9d,FBW
804aea02dc,1990_worlds,Open Dbls Net,2,,Dave Robinson/Jim Fitzgerald,b7e7f86a9d,FBW
0c11c2f01e,1990_worlds,Open Dbls Net,3,,Mag Hughes/Steve Fennell,b7e7f86a9d,FBW
d6b8321c75,1990_worlds,Women's Sgls Net,1,Tricia George,,b7e7f86a9d,FBW
a82d8f1155,1990_worlds,Women's Sgls Net,2,Nancy Reynolds,,b7e7f86a9d,FBW
14ca27e641,1990_worlds,Women's Sgls Net,3,Jodi Sebastian,,b7e7f86a9d,FBW
fdeed1090f,1990_worlds,Women's Dbls Net,1,,Nancy Reynolds/Tricia George,b7e7f86a9d,FBW
7377995890,1990_worlds,Women's Dbls Net,2,,Constance Constable/Jodi Sebastian,b7e7f86a9d,FBW
8368a4b5d1,1990_worlds,Women's Dbls Net,3,,Suzanne Beauchemin/Linda Burt,b7e7f86a9d,FBW
2f1e302b14,1990_worlds,Mixed Dbls Net,1,,Tricia George/Dave Robinson,b7e7f86a9d,FBW
bc5976d437,1990_worlds,Mixed Dbls Net,2,,Nancy Reynolds/Mag Hughes,b7e7f86a9d,FBW
4558c38350,1990_worlds,Mixed Dbls Net,3,,Linda Burt/Kenny Shults,b7e7f86a9d,FBW
59df320d4a,1990_worlds,Open Sgls Freestyle,1,Kenny Shults,,b7e7f86a9d,FBW
2126a597d0,1990_worlds,Open Sgls Freestyle,2,Brent Welch,,b7e7f86a9d,FBW
dab52e3910,1990_worlds,Open Sgls Freestyle,3,Jim Fitzgerald,,b7e7f86a9d,FBW
37f8febf08,1990_worlds,Open Team Freestyle,1,,Jim Fitzgerald/Jack Schoolcraft,b7e7f86a9d,FBW
38a20ae73c,1990_worlds,Open Team Freestyle,2,,Bruce Guettich/Greg Cortopassi,b7e7f86a9d,FBW
866e822855,1990_worlds,Open Team Freestyle,3,,Scott Cleere/Andy Linder,b7e7f86a9d,FBW
cb8e377361,1990_worlds,Open Sgls Consecutive,1,Andy Linder,,b7e7f86a9d,FBW
79e7509cea,1990_worlds,Open Sgls Consecutive,2,John Lind,,b7e7f86a9d,FBW
3034700fb7,1990_worlds,Open Sgls Consecutive,3,Rick Reese,,b7e7f86a9d,FBW
0676580b88,1990_worlds,Open Dbls Consecutive,1,,Jack Schoolcraft/Pat Castle,b7e7f86a9d,FBW
4e27b83bb9,1990_worlds,Open Dbls Consecutive,2,,Jon Lind/Dennis Ross,b7e7f86a9d,FBW
30219b9a81,1990_worlds,Open Dbls Consecutive,3,,Chris Ott/Dave Robinson,b7e7f86a9d,FBW
60481a8f86,1991_worlds,Men's Overall,1,Brent Welch,,4ba49ad48c,FBW
3fb47044e1,1991_worlds,Women's Overall,1,Tricia George,,4ba49ad48c,FBW
9019364f74,1991_worlds,Open Sgls Net,1,Steve Fennell,,4ba49ad48c,FBW
d3842dc538,1991_worlds,Open Sgls Net,2,Dave Robinson,,4ba49ad48c,FBW
d55ef28b6e,1991_worlds,Open Sgls Net,3,Jim Fitzgerald,,4ba49ad48c,FBW
3437f51951,1991_worlds,Open Dbls Net,1,,Dave Robinson/Jim Fitzgerald,4ba49ad48c,FBW
f46c486974,1991_worlds,Open Dbls Net,2,,Kenny Shults/Mike Harding,4ba49ad48c,FBW
