event_id,year,event_name,event_type,division_raw,division_canon,place,competitor_type,player1_name,player2_name
2001984001,1984,World Championships 1984,mixed,ADVANCED SINGLES NET,Advanced Singles Net,2,player,David Robinson,
2001984001,1984,World Championships 1984,mixed,ADVANCED SINGLES NET,Advanced Singles Net,3,player,Ken Shults,
2001984001,1984,World Championships 1984,mixed,ADVANCED DOUBLES NET,Advanced Doubles Net,1,team,Mag Hughes,Bill Hayne
2001984001,1984,World Championships 1984,mixed,ADVANCED DOUBLES NET,Advanced Doubles Net,2,team,Ken Shults,Mike Harding
2001984001,1984,World Championships 1984,mixed,ULTRA SINGLES NET,Ultra Singles Net,1,player,Ken Shults,
2001984001,1984,World Championships 1984,mixed,ULTRA SINGLES NET,Ultra Singles Net,2,player,Mag Hughes,
2001984001,1984,World Championships 1984,mixed,ULTRA SINGLES NET,Ultra Singles Net,3,player,David Robinson,
2001984001,1984,World Championships 1984,mixed,ULTRA DOUBLES NET,Ultra Doubles Net,1,team,Mag Hughes,Bill Hayne
2001984001,1984,World Championships 1984,mixed,ULTRA DOUBLES NET,Ultra Doubles Net,2,team,Kevin Coker,Steve Granzberg
2001984001,1984,World Championships 1984,mixed,SINGLES FREESTYLE,Singles Freestyle,1,player,Andy Linder,
2001984001,1984,World Championships 1984,mixed,SINGLES FREESTYLE,Singles Freestyle,2,player,Ken Shults,
2001984001,1984,World Championships 1984,mixed,SINGLES FREESTYLE,Singles Freestyle,3,player,Jack Schoolcraft,
2001984001,1984,World Championships 1984,mixed,TEAM FREESTYLE,Team Freestyle,1,team,Jack Schoolcraft,Jim Fitzgerald
2001984001,1984,World Championships 1984,mixed,SINGLES CONSECUTIVE KICKS,Singles Consecutive Kicks,1,player,Pat Castle,
2001984001,1984,World Championships 1984,mixed,SINGLES CONSECUTIVE KICKS,Singles Consecutive Kicks,2,player,Gary Lautt,
2001984001,1984,World Championships 1984,mixed,SINGLES CONSECUTIVE KICKS,Singles Consecutive Kicks,3,player,Andy Linder,
2001984001,1984,World Championships 1984,mixed,DOUBLES CONSECUTIVE KICKS,Doubles Consecutive Kicks,1,team,Gary Lautt,Jim Caveney
2001984001,1984,World Championships 1984,mixed,DOUBLES CONSECUTIVE KICKS,Doubles Consecutive Kicks,2,team,Andy Linder,Jimmy Evans
2001984001,1984,World Championships 1984,mixed,DOUBLES ONE-PASS CONSECUTIVE KICKS,Doubles One-Pass Consecutive Kicks,1,team,Gary Lautt,Jim Caveney
2001984001,1984,World Championships 1984,mixed,DOUBLES ONE-PASS CONSECUTIVE KICKS,Doubles One-Pass Consecutive Kicks,2,team,Jodi Chandler,"Jon Lind, 3rd -Mag Hughes"
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Singles Consecutive,Singles Consecutive,1,player,Eric Wulff,
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Singles Consecutive,Singles Consecutive,2,player,Rob McCloskey,
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Singles Consecutive,Singles Consecutive,3,player,Adam Eisner,
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Doubles Consecutive,Doubles Consecutive,1,team,Eric Wulff,Russ Willi
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Doubles Consecutive,Doubles Consecutive,2,team,Adam Eisner,Rob McCloskey
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Doubles Consecutive,Doubles Consecutive,3,team,Joe Solonoski,Dave Piehota
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Footbag Golf,Footbag Golf,1,player,Charlie Hallowell,
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Footbag Golf,Footbag Golf,2,player,Jim Dickey,
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Footbag Golf,Footbag Golf,3,player,Scott Hartyl,
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Footbag Freestyle,Footbag Freestyle,1,team,Mark Cicchetti,Dale Crawford
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Footbag Freestyle,Footbag Freestyle,2,player,Brian Buen,
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Footbag Freestyle,Footbag Freestyle,3,player,Eric Wulff,
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Mixed Doubles Footbag Net,Mixed Doubles Footbag Net,1,team,Sue Vassalotti,Peter Chandler
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Mixed Doubles Footbag Net,Mixed Doubles Footbag Net,2,team,Cathey Guenther,Lee Guenther
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Mixed Doubles Footbag Net,Mixed Doubles Footbag Net,3,team,Ruth Osterman,Rick Kaufman
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Advanced Doubles Net,Advanced Doubles Net,1,team,Steve Femmel,Dave Connell
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Advanced Doubles Net,Advanced Doubles Net,2,team,Lee Guenther,Charlie Hallowell
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Advanced Doubles Net,Advanced Doubles Net,3,team,Dale Crawford,Mark Cicchetti
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Open Singles Net,Open Singles Net,1,player,Mark Lavalle,
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Open Singles Net,Open Singles Net,2,player,Rich Carlo,
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Open Singles Net,Open Singles Net,3,player,Mike Gonzales,
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Open Doubles Net,Open Doubles Net,1,team,Mark Lavelle,Rich Carlo
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Open Doubles Net,Open Doubles Net,2,team,Rob McCloskey,Jack Lentz
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Open Doubles Net,Open Doubles Net,3,team,Rick Scaffel,John Nodtvedt
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Womens Singles Net,Womens Singles Net,1,player,Sue Vasolotti,
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Womens Singles Net,Womens Singles Net,2,player,Ruth Osterman,
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,Womens Singles Net,Womens Singles Net,3,player,Cathy Guenther,
2001985001,1985,World Championships 1985,mixed,WOMEN'S SINGLES CONSECUTIVE KICKS,Women's Singles Consecutive Kicks,1,player,Tricia George,
2001985001,1985,World Championships 1985,mixed,WOMEN'S SINGLES CONSECUTIVE KICKS,Women's Singles Consecutive Kicks,1,team,Constance Constable,Marie Elsner
2001985001,1985,World Championships 1985,mixed,SINGLES CONSECUTIVE KICKS,Singles Consecutive Kicks,1,player,Andy Linder,
2001985001,1985,World Championships 1985,mixed,SINGLES CONSECUTIVE KICKS,Singles Consecutive Kicks,1,team,Pat Castle,Fred Barnum
2001985001,1985,World Championships 1985,mixed,WOMEN'S DOUBLES CONSECUTIVE KICKS,Women's Doubles Consecutive Kicks,1,team,Jodi Chandler,Marie Elsner
2001985001,1985,World Championships 1985,mixed,WOMEN'S DOUBLES CONSECUTIVE KICKS,Women's Doubles Consecutive Kicks,2,team,Tricia George,"Constance Constable, 3rd -Nancy Reynolds"
2001985001,1985,World Championships 1985,mixed,WOMEN'S DOUBLES CONSECUTIVE KICKS,Women's Doubles Consecutive Kicks,1,team,Jon Lind,Dennis Ross
2001985001,1985,World Championships 1985,mixed,DOUBLES CONSECUTIVE KICKS,Doubles Consecutive Kicks,1,team,Pat Castle,Jack Schoolcraft
2001985001,1985,World Championships 1985,mixed,DOUBLES CONSECUTIVE KICKS,Doubles Consecutive Kicks,2,team,Chris Ott,Jeff Johnson
2001985001,1985,World Championships 1985,mixed,WOMEN'S DOUBLES ONE-PASS CONSECUTIVE KICKS,Women's Doubles One-Pass Consecutive Kicks,1,team,Tricia George,Constance Constable
2001985001,1985,World Championships 1985,mixed,WOMEN'S DOUBLES ONE-PASS CONSECUTIVE KICKS,Women's Doubles One-Pass Consecutive Kicks,2,team,Jodi Chandler,"Nancy Reynolds, 3rd - Suzanne Beauchemin"
2001985001,1985,World Championships 1985,mixed,DOUBLES ONE-PASS CONSECUTIVE KICKS,Doubles One-Pass Consecutive Kicks,1,team,Jim Caveney,Bruce Guettich
2001985001,1985,World Championships 1985,mixed,DOUBLES ONE-PASS CONSECUTIVE KICKS,Doubles One-Pass Consecutive Kicks,2,team,Mag Hughes,"David Robinson, 3rd -Brent Welch"
2001985001,1985,World Championships 1985,mixed,DOUBLES ONE-PASS CONSECUTIVE KICKS,Doubles One-Pass Consecutive Kicks,1,team,Constance Constable,"Kim Era, 3rd - Nancy Reynolds"
2001985001,1985,World Championships 1985,mixed,DOUBLES ONE-PASS CONSECUTIVE KICKS,Doubles One-Pass Consecutive Kicks,1,team,Brent Welch,Bill Langbehn
