person_id,person_canon,trick_canon,trick_type,mentions,first_year,last_year,event_count,sample_event,sample_line
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,gyro,style_term,1,2007,2007,1,,"1. Byrin Wylie--Surging Ducking Paradox Whirl, Surging Paradox Blender, Gyro"
97dfde65-956c-5842-994d-05a877c49182,Cale McCoy,ducking,style_term,1,2010,2010,1,,1. Cale McCoy (Ducking Leg Over-Pixie Leg Over-Phoenix)
97dfde65-956c-5842-994d-05a877c49182,Cale McCoy,pixie,style_term,1,2010,2010,1,,1. Cale McCoy (Ducking Leg Over-Pixie Leg Over-Phoenix)
40b58c8d-2350-5041-8600-e392b511e0bc,Carlos Terraza,pixie,style_term,1,2012,2012,1,,3. CARLOS TERRAZA: pixie symp whirl
40b58c8d-2350-5041-8600-e392b511e0bc,Carlos Terraza,whirl,full_trick,1,2012,2012,1,,3. CARLOS TERRAZA: pixie symp whirl
81a671cd-b6f6-5d6e-997e-21d885cf8ae8,Caro Bourgouin,drifter,full_trick,1,2008,2008,1,,"2. Caro Bouroin (Paradox Drifter, Matador)"
dfc35597-39c1-5425-8b94-6e24dbc24696,Cass Taylor,butterfly,full_trick,1,2013,2013,1,,6. Cassandra Taylor (Canada) - smear > butterfly > paradox whirl
dfc35597-39c1-5425-8b94-6e24dbc24696,Cass Taylor,smear,full_trick,1,2013,2013,1,,6. Cassandra Taylor (Canada) - smear > butterfly > paradox whirl
dfc35597-39c1-5425-8b94-6e24dbc24696,Cass Taylor,whirl,full_trick,1,2013,2013,1,,6. Cassandra Taylor (Canada) - smear > butterfly > paradox whirl
2daa07f5-d830-521e-af6e-4a39cd094e92,Chad Devlahovich,flurry,full_trick,1,2003,2003,1,,"5th) Chad Devlahovich: Spinning Whirl, Blurry Whirl, Flurry"
2daa07f5-d830-521e-af6e-4a39cd094e92,Chad Devlahovich,osis,full_trick,1,2003,2003,1,,"12th) Chad Devlahovich: Scorpion Tail, Blurry Whirl, Osis"
2daa07f5-d830-521e-af6e-4a39cd094e92,Chad Devlahovich,spinning,style_term,1,2003,2003,1,,"5th) Chad Devlahovich: Spinning Whirl, Blurry Whirl, Flurry"
2daa07f5-d830-521e-af6e-4a39cd094e92,Chad Devlahovich,spinning whirl,full_trick,1,2003,2003,1,,"5th) Chad Devlahovich: Spinning Whirl, Blurry Whirl, Flurry"
b268c49e-eef5-54f8-8ed5-16d8b5ffb62a,Chad Rassmuson,pickup,full_trick,1,1999,1999,1,,1.Chad Rassmuson / Brian Pickup
e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,dimwalk,full_trick,1,2007,2007,1,,3rd - Chris Balch - Ducking Clipper > Gyro Mirage > Dimwalk
e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,ducking,style_term,1,2007,2007,1,,3rd - Chris Balch - Ducking Clipper > Gyro Mirage > Dimwalk
e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,ducking clipper,full_trick,1,2007,2007,1,,3rd - Chris Balch - Ducking Clipper > Gyro Mirage > Dimwalk
e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,gyro,style_term,1,2007,2007,1,,3rd - Chris Balch - Ducking Clipper > Gyro Mirage > Dimwalk
43ddd1ca-e004-5d37-b4b5-38cd81bde3c2,Chris Dean,blurry whirl,full_trick,1,2014,2014,1,,2. Chris Dean (USA) - blurry whirl > matador > food processor
43ddd1ca-e004-5d37-b4b5-38cd81bde3c2,Chris Dean,butterfly,full_trick,1,2013,2013,1,,2. Chris Dean (USA) - blizzard > fairy ducking butterfly > food processor ; bedwetter > matador > mobius
43ddd1ca-e004-5d37-b4b5-38cd81bde3c2,Chris Dean,ducking,style_term,1,2013,2013,1,,2. Chris Dean (USA) - blizzard > fairy ducking butterfly > food processor ; bedwetter > matador > mobius
