chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,sequence_index,normalized_trick,original_tokens,merge_window,was_merged,adds,merge_method
1143172220_44,1143172220,2006,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,,context_window,1,superfly,superfly,1,False,5.0,direct
1143172220_47,1143172220,2006,43ddd1ca-e004-5d37-b4b5-38cd81bde3c2,Chris Dean,,context_window,0,blurry whirl,blurry whirl,1,False,5.0,direct
1143172220_47,1143172220,2006,43ddd1ca-e004-5d37-b4b5-38cd81bde3c2,Chris Dean,,context_window,1,paradox torque,paradox torque,1,False,5.0,direct
1148241486_13,1148241486,2006,ac5e2112-c6cb-58f1-869d-6f6f8a63d13b,John Mahood,,direct,0,clipper,clipper,1,False,2.0,direct
1148241486_13,1148241486,2006,ac5e2112-c6cb-58f1-869d-6f6f8a63d13b,John Mahood,,direct,1,whirl,whirl,1,False,3.0,direct
1148241486_27,1148241486,2006,bd9a2c9a-1554-5238-929d-c876342007a3,Danny Petrick,,direct,0,legover,legover,1,False,2.0,direct
1148241486_27,1148241486,2006,bd9a2c9a-1554-5238-929d-c876342007a3,Danny Petrick,,direct,1,butterfly,butterfly,1,False,3.0,direct
1148241486_27,1148241486,2006,bd9a2c9a-1554-5238-929d-c876342007a3,Danny Petrick,,direct,2,whirl,whirl,1,False,3.0,direct
1148241486_28,1148241486,2006,d53d0dae-9c1e-5773-a133-e42829b7a2ae,Chris Miller,,direct,0,ducking clipper,ducking clipper,1,False,3.0,direct
1148241486_28,1148241486,2006,d53d0dae-9c1e-5773-a133-e42829b7a2ae,Chris Miller,,direct,1,mirage,mirage,1,False,2.0,direct
1148241486_28,1148241486,2006,d53d0dae-9c1e-5773-a133-e42829b7a2ae,Chris Miller,,direct,2,butterfly,butterfly,1,False,3.0,direct
1148241486_29,1148241486,2006,448d4c37-75f4-5396-bd2f-544dd0ab967c,Alex Verget,,direct,0,stepping drifter,stepping|drifter,2,True,4.0,dict_match
1149763452_187,1149763452,2006,c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,,context_window,0,pixie,pixie,1,False,2.0,unresolved_modifier
1149763452_187,1149763452,2006,c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,,context_window,1,pixie,pixie,1,False,2.0,unresolved_modifier
1149763452_187,1149763452,2006,c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,,context_window,2,blurriest,blurriest,1,False,5.0,direct
1149763452_189,1149763452,2006,eb025239-b9ab-5cef-9307-7639f88a225a,Karim Daouk,,context_window,0,paradox drifter,paradox drifter,1,False,4.0,direct
1149763452_189,1149763452,2006,eb025239-b9ab-5cef-9307-7639f88a225a,Karim Daouk,,context_window,1,tomahawk,tomahawk,1,False,5.0,direct
1149763452_191,1149763452,2006,8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,,context_window,0,pixie,pixie,1,False,2.0,unresolved_modifier
1149763452_191,1149763452,2006,8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,,context_window,1,blurriest,blurriest,1,False,5.0,direct
1149763452_193,1149763452,2006,a16f307e-68d5-5ad4-be8f-234aeefc45fc,Joel Roset,,context_window,0,legover,legover,1,False,2.0,direct
1149763452_193,1149763452,2006,a16f307e-68d5-5ad4-be8f-234aeefc45fc,Joel Roset,,context_window,1,legover,legover,1,False,2.0,direct
1149763452_195,1149763452,2006,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,0,blur,blur,1,False,4.0,direct
1149763452_195,1149763452,2006,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,1,blurriest,blurriest,1,False,5.0,direct
1149763452_197,1149763452,2006,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,0,pixie,pixie,1,False,2.0,unresolved_modifier
1149763452_197,1149763452,2006,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,1,blurry whirl,blurry whirl,1,False,5.0,direct
1149763452_197,1149763452,2006,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,2,whirl,whirl,1,False,3.0,direct
1149763452_199,1149763452,2006,6afe2e47-df47-5055-bba0-0aa2341d43e0,Max Boucoiran,,context_window,0,whirl,whirl,1,False,3.0,direct
1149763452_199,1149763452,2006,6afe2e47-df47-5055-bba0-0aa2341d43e0,Max Boucoiran,,context_window,1,symposium,symposium,1,False,,unresolved_modifier
1149763452_201,1149763452,2006,cef01455-9290-53a6-9fab-a9c9dad8fc34,Daryl Canady,,context_window,0,atom smasher,atom smasher,1,False,4.0,direct
1149763452_201,1149763452,2006,cef01455-9290-53a6-9fab-a9c9dad8fc34,Daryl Canady,,context_window,1,smear,smear,1,False,3.0,direct
1149763452_201,1149763452,2006,cef01455-9290-53a6-9fab-a9c9dad8fc34,Daryl Canady,,context_window,2,ducking mirage,ducking mirage,1,False,3.0,direct
1149763452_203,1149763452,2006,60c41b2e-1175-5698-99b7-6e5ee25bec58,Daniel Meyer,,context_window,0,legover,legover,1,False,2.0,direct
1149763452_203,1149763452,2006,60c41b2e-1175-5698-99b7-6e5ee25bec58,Daniel Meyer,,context_window,1,smear,smear,1,False,3.0,direct
1149763452_203,1149763452,2006,60c41b2e-1175-5698-99b7-6e5ee25bec58,Daniel Meyer,,context_window,2,dimwalk,dimwalk,1,False,4.0,direct
1149763452_207,1149763452,2006,4ea3ca6a-daf2-5ea6-aa76-f521e7cac688,Augustin Tiffou,,context_window,0,dimwalk,dimwalk,1,False,4.0,direct
1149763452_207,1149763452,2006,4ea3ca6a-daf2-5ea6-aa76-f521e7cac688,Augustin Tiffou,,context_window,1,ripwalk,ripwalk,1,False,4.0,direct
1149763452_209,1149763452,2006,ad56005f-3da3-5f45-99c3-a691e7e6773c,Julien Romiti,,context_window,0,parkwalk,parkwalk,1,False,4.0,direct
1149763452_209,1149763452,2006,ad56005f-3da3-5f45-99c3-a691e7e6773c,Julien Romiti,,context_window,1,osis,osis,1,False,3.0,direct
1157398732_29,1157398732,2006,c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,,direct,0,dimwalk,dimwalk,1,False,4.0,direct
1157398732_29,1157398732,2006,c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,,direct,1,whirl,whirl,1,False,3.0,direct
1157398732_29,1157398732,2006,c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,,direct,2,blender,blender,1,False,4.0,direct
1157398732_30,1157398732,2006,7c17dac5-be0b-5fc2-a537-2c8d02be9019,Tobias Larsen,,direct,0,blur,blur,1,False,4.0,direct
