chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,original_length,normalized_length,tokens_consumed_by_merges,merges_performed,scored_count,unscored_count,sequence_add,avg_add,max_add,tricks_normalized
1135116604_125,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,3,3,0,0,0,3,,,,stepping>spinning>spinning
1135116604_126,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,3,3,0,0,3,0,10.0,3.333,4.0,butterfly>ripwalk>whirl
1137347261_10,1137347261,2006,162332af-26d3-557e-9bf8-ff21c226fbaf,Dylan Johnson,,context_window,2,2,0,0,2,0,6.0,3.0,4.0,parkwalk>pixie
1137347261_12,1137347261,2006,e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,,context_window,2,1,1,1,1,0,4.0,4.0,4.0,dimwalk
1137347261_28,1137347261,2006,be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,,context_window,2,2,0,0,2,0,6.0,3.0,3.0,whirl>whirl
1137347261_30,1137347261,2006,91dbdc03-080b-5170-a2b4-6fcbc7b4f053,Justin Dale,,context_window,2,2,0,0,1,1,5.0,2.5,5.0,blurry whirl>spinning
1137347261_32,1137347261,2006,d1aace44-cd92-5b85-9ed1-fe4afb2cd502,Ken Somolinos,,context_window,2,2,0,0,2,0,8.0,4.0,4.0,blur>parkwalk
1137347261_8,1137347261,2006,5ff55ce6-2a42-5159-ab1a-5b997c194707,Nelson Monhollon,,context_window,2,2,0,0,2,0,8.0,4.0,4.0,ripwalk>spinning osis
1138601883_20,1138601883,2006,58bb3c4a-1a60-537d-ba4e-55de294abd8c,Dustin Rhodes,,direct,3,3,0,0,3,0,10.0,3.333,4.0,dimwalk>ripwalk>mirage
1138601883_29,1138601883,2006,c8aa0d72-fc62-5da2-94ab-b7eabd58ae19,Eric Chang,,direct,3,3,0,0,3,0,7.0,2.333,3.0,clipper>legover>butterfly
1138601883_30,1138601883,2006,9ffd9877-c7d3-5bdb-a4d0-cc00e8225245,Kenny Perng,,direct,3,3,0,0,3,0,6.0,2.0,2.0,mirage>clipper>clipper
1138601883_31,1138601883,2006,513c8bcf-4c53-5b90-8c71-a823c1f917a2,Stu Sapia,,direct,2,2,0,0,2,0,4.0,2.0,2.0,pixie>pickup
1138601883_8,1138601883,2006,d1aace44-cd92-5b85-9ed1-fe4afb2cd502,Ken Somolinos,,direct,2,2,0,0,2,0,7.0,3.5,5.0,fog>mirage
1143172220_44,1143172220,2006,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,,context_window,2,2,0,0,2,0,8.0,4.0,5.0,drifter>superfly
1143172220_47,1143172220,2006,43ddd1ca-e004-5d37-b4b5-38cd81bde3c2,Chris Dean,,context_window,2,2,0,0,2,0,10.0,5.0,5.0,blurry whirl>paradox torque
1148241486_13,1148241486,2006,ac5e2112-c6cb-58f1-869d-6f6f8a63d13b,John Mahood,,direct,2,2,0,0,2,0,5.0,2.5,3.0,clipper>whirl
1148241486_27,1148241486,2006,bd9a2c9a-1554-5238-929d-c876342007a3,Danny Petrick,,direct,3,3,0,0,3,0,8.0,2.667,3.0,legover>butterfly>whirl
1148241486_28,1148241486,2006,d53d0dae-9c1e-5773-a133-e42829b7a2ae,Chris Miller,,direct,3,3,0,0,3,0,8.0,2.667,3.0,ducking clipper>mirage>butterfly
1148241486_29,1148241486,2006,448d4c37-75f4-5396-bd2f-544dd0ab967c,Alex Verget,,direct,2,1,1,1,1,0,4.0,4.0,4.0,stepping drifter
1149763452_187,1149763452,2006,c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,,context_window,3,3,0,0,3,0,9.0,3.0,5.0,pixie>pixie>blurriest
1149763452_189,1149763452,2006,eb025239-b9ab-5cef-9307-7639f88a225a,Karim Daouk,,context_window,2,2,0,0,2,0,9.0,4.5,5.0,paradox drifter>tomahawk
1149763452_191,1149763452,2006,8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,,context_window,2,2,0,0,2,0,7.0,3.5,5.0,pixie>blurriest
1149763452_193,1149763452,2006,a16f307e-68d5-5ad4-be8f-234aeefc45fc,Joel Roset,,context_window,2,2,0,0,2,0,4.0,2.0,2.0,legover>legover
1149763452_195,1149763452,2006,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,2,2,0,0,2,0,9.0,4.5,5.0,blur>blurriest
1149763452_197,1149763452,2006,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,3,3,0,0,3,0,10.0,3.333,5.0,pixie>blurry whirl>whirl
1149763452_199,1149763452,2006,6afe2e47-df47-5055-bba0-0aa2341d43e0,Max Boucoiran,,context_window,2,2,0,0,1,1,3.0,1.5,3.0,whirl>symposium
1149763452_201,1149763452,2006,cef01455-9290-53a6-9fab-a9c9dad8fc34,Daryl Canady,,context_window,3,3,0,0,3,0,10.0,3.333,4.0,atom smasher>smear>ducking mirage
