chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,sequence_length,scored_count,unscored_count,sequence_add,avg_add,max_add,tricks
1222687523_132,1222687523,2008,4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,,context_window,2,2,0,7.0,3.5,5.0,fog>pixie
1222687523_133,1222687523,2008,4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,,context_window,3,3,0,11.0,3.667,5.0,legover>torque>paradox blender
1222687523_134,1222687523,2008,4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,,context_window,2,2,0,8.0,4.0,5.0,blurry whirl>whirl
1222687523_135,1222687523,2008,4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,,context_window,3,2,1,7.0,2.333,5.0,blurry whirl>legover>symposium
1222687523_136,1222687523,2008,4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,,context_window,3,3,0,9.0,3.0,4.0,pixie>paradox whirl>whirl
1222687523_137,1222687523,2008,4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,,context_window,3,3,0,9.0,3.0,4.0,legover>dimwalk>whirl
1224962900_49,1224962900,2008,abe227f2-b4d5-5baa-9f72-2b6dfa32036e,Artur Pichura,,context_window,2,2,0,8.0,4.0,5.0,fusion>eggbeater
1226679678_191,1226679678,2009,dfd9c592-0f50-582b-8e8c-fcb60d9c2bb8,Tuukka Antikainen,,context_window,2,2,0,11.0,5.5,6.0,fusion>food processor
1226679678_192,1226679678,2009,dfd9c592-0f50-582b-8e8c-fcb60d9c2bb8,Tuukka Antikainen,,context_window,2,2,0,11.0,5.5,6.0,fusion>food processor
1226679678_194,1226679678,2009,dfd9c592-0f50-582b-8e8c-fcb60d9c2bb8,Tuukka Antikainen,,context_window,2,2,0,10.0,5.0,6.0,spinning osis>food processor
1226679678_195,1226679678,2009,dfd9c592-0f50-582b-8e8c-fcb60d9c2bb8,Tuukka Antikainen,,context_window,2,2,0,11.0,5.5,6.0,food processor>superfly
1226679678_196,1226679678,2009,dfd9c592-0f50-582b-8e8c-fcb60d9c2bb8,Tuukka Antikainen,,context_window,2,2,0,7.0,3.5,4.0,osis>ducking butterfly
