event_id,year,person_id,person_canon,attribution_confidence,chain_id,sequence_index,trick_canon
1138601883,2006,58bb3c4a-1a60-537d-ba4e-55de294abd8c,Dustin Rhodes,direct,1138601883_20,0,dimwalk
1138601883,2006,58bb3c4a-1a60-537d-ba4e-55de294abd8c,Dustin Rhodes,direct,1138601883_20,1,ripwalk
1138601883,2006,58bb3c4a-1a60-537d-ba4e-55de294abd8c,Dustin Rhodes,direct,1138601883_20,2,mirage
1138601883,2006,c8aa0d72-fc62-5da2-94ab-b7eabd58ae19,Eric Chang,direct,1138601883_29,0,clipper
1138601883,2006,c8aa0d72-fc62-5da2-94ab-b7eabd58ae19,Eric Chang,direct,1138601883_29,1,legover
1138601883,2006,c8aa0d72-fc62-5da2-94ab-b7eabd58ae19,Eric Chang,direct,1138601883_29,2,butterfly
1138601883,2006,9ffd9877-c7d3-5bdb-a4d0-cc00e8225245,Kenny Perng,direct,1138601883_30,0,mirage
1138601883,2006,9ffd9877-c7d3-5bdb-a4d0-cc00e8225245,Kenny Perng,direct,1138601883_30,1,clipper
1138601883,2006,9ffd9877-c7d3-5bdb-a4d0-cc00e8225245,Kenny Perng,direct,1138601883_30,2,clipper
1138601883,2006,513c8bcf-4c53-5b90-8c71-a823c1f917a2,Stu Sapia,direct,1138601883_31,0,pixie
1138601883,2006,513c8bcf-4c53-5b90-8c71-a823c1f917a2,Stu Sapia,direct,1138601883_31,1,pickup
1143172220,2006,10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,context_window,1143172220_44,0,drifter
