event_id,year,division_canon,division_category,placements_present,min_place,max_place,expected_span,missing_places,coverage_ratio,coverage_flag,rejected_rows,quarantine_rows,excluded_rows,evidence_total,gap_class,priority_score
876356874,1998,Open Doubles Net,net,11,1,17,17,6,0.6470588235294118,partial,0,0,0,0,document_only,2.1
1183729267,2007,Open Singles Freestyle,freestyle,11,1,17,17,6,0.6470588235294118,partial,0,0,0,0,document_only,2.1
1199106237,2008,Open Singles Freestyle,freestyle,11,1,17,17,6,0.6470588235294118,partial,0,0,0,0,document_only,2.1
1328094862,2012,Open Singles Routines,freestyle,11,1,17,17,6,0.6470588235294118,partial,0,0,0,0,document_only,2.1
910551956,1999,Intermediate Singles Net,net,8,1,13,13,5,0.6153846153846154,partial,0,0,0,0,document_only,1.9
910551956,1999,Open Singles Net,net,13,1,19,19,6,0.6842105263157895,partial,0,0,0,0,document_only,1.9
1069929277,2004,Mixed Doubles Net,net,8,1,13,13,5,0.6153846153846154,partial,0,0,0,0,document_only,1.9
1135116604,2006,Intermediate Singles Net,net,13,1,19,19,6,0.6842105263157895,partial,0,0,0,0,document_only,1.9
1378666423,2013,Request Contest,freestyle,8,1,13,13,5,0.6153846153846154,partial,0,0,0,0,document_only,1.9
1646855336,2022,Open Doubles Net,net,13,1,19,19,6,0.6842105263157895,partial,0,0,0,0,document_only,1.9
1706036811,2024,Battles,freestyle,8,1,13,13,5,0.6153846153846154,partial,0,0,0,0,document_only,1.9
1706036811,2024,Circle Contest,freestyle,8,1,13,13,5,0.6153846153846154,partial,0,0,0,0,document_only,1.9
1471686537,2017,2-Square,sideline,5,1,9,9,4,0.5555555555555556,mostly_complete,0,0,0,0,document_only,1.8
1498568502,2017,Request Contest,freestyle,9,1,14,14,5,0.6428571428571429,partial,0,0,0,0,document_only,1.8
1083699966,2004,Open Singles Net Open Doubles Net,net,10,1,15,15,5,0.6666666666666666,partial,0,0,0,0,document_only,1.7
1146843672,2006,Open Singles Freestyle,freestyle,6,1,10,10,4,0.6,partial,0,0,0,0,document_only,1.6
1284588517,2010,Open Circle Contest,freestyle,6,1,10,10,4,0.6,partial,0,0,0,0,document_only,1.6
1519215398,2018,Open Freestyle Routines,freestyle,11,1,16,16,5,0.6875,partial,0,0,0,0,document_only,1.6
1035277529,2003,Open Doubles Net,net,7,1,11,11,4,0.6363636363636364,partial,0,0,0,0,document_only,1.5
1125936037,2005,Open Singles Freestyle,freestyle,12,1,17,17,5,0.7058823529411765,partial,0,0,0,0,document_only,1.5
1135116604,2006,Open Doubles Net,net,28,1,35,35,7,0.8,mostly_complete,0,0,0,0,document_only,1.4
1163784775,2007,Open Singles Net,net,27,1,34,34,7,0.7941176470588235,mostly_complete,0,0,0,0,document_only,1.4
876356874,1998,Intermediate Singles Net,net,14,1,19,19,5,0.7368421052631579,partial,0,0,0,0,document_only,1.3
1089373321,2004,Intermediate Singles Net,net,8,1,12,12,4,0.6666666666666666,partial,0,0,0,0,document_only,1.3
1222687523,2008,Open Singles Freestyle,freestyle,8,1,12,12,4,0.6666666666666666,partial,0,0,0,0,document_only,1.3
1374570632,2013,Circle,freestyle,8,1,12,12,4,0.6666666666666666,partial,0,0,0,0,document_only,1.3
1694868513,2023,Request Contest,freestyle,8,1,12,12,4,0.6666666666666666,partial,0,0,0,0,document_only,1.3
876356874,1998,Intermediate Doubles Net,net,9,1,13,13,4,0.6923076923076923,partial,0,0,0,0,document_only,1.2
961626997,2000,Open Singles,net,9,1,13,13,4,0.6923076923076923,partial,0,0,0,0,document_only,1.2
980969461,2001,Intermediate Singles Freestyle,freestyle,16,1,21,21,5,0.7619047619047619,mostly_complete,0,0,0,0,document_only,1.2
1536221908,2018,Request Contest,freestyle,9,1,13,13,4,0.6923076923076923,partial,0,0,0,0,document_only,1.2
1089373321,2004,Open Doubles Net,net,5,1,8,8,3,0.625,partial,0,0,0,0,document_only,1.1
1089373321,2004,Open Singles Net,net,5,1,8,8,3,0.625,partial,0,0,0,0,document_only,1.1
1487797845,2017,Request Contest,freestyle,11,1,15,15,4,0.7333333333333333,partial,0,0,0,0,document_only,1.1
