alias,canonical,alias_count,canonical_count_in_pf,alias_years,canonical_years,shared_events,shared_event_ids_sample,alias_event_ids_sample,canonical_event_ids_sample,score,reasons
Pelko,Ale Pelko,1,10,2003,2006..2018 (8 yrs),0,,1035277529,"1135116604,1149763452,1183729267,1194517448,1199106237",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Phil,Phil Lessard,1,2,2010,"2006,2009",0,,1268445253,"1146789209,1226679678",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Pierre,Pierre Jacques Daigle,10,12,"1997,1998,1999,2000,2003,2004",1998..2013 (9 yrs),0,,"1039550946,1069791565,859400929,876591529,883135865","1069929277,1075781798,1107290435,1149881200,1194517448",6,"prefix_match,token_subset,canon_more_common"
Rado Arnaj,Rado arnaj,1,0,2004,,0,,1092073845,,5,"initial_variant,rare_alias"
Reyer,Chris Reyer,1,1,2003,2003,0,,1035277529,1042821772,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Robin,Robin Puchel,1,32,2009,2006..2022 (12 yrs),0,,1257621700,"1135116604,1226679678,1282224512,1294262550,1295262886",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Roger,Pierre-Alexandre ROGER,1,1,2005,2019,0,,1126086921,1547720079,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Rousseau,Vincent Rousseau,1,34,2003,2002..2012 (11 yrs),0,,1035277529,"1030830356,1064849293,1080138513,1089373321,1090569022",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Roy,Guillaume Perrault Roy,1,1,2004,2021,0,,1079444598,1628025574,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Rutz,Dominik Rutz,1,3,2003,"2010,2011",0,,1035277529,"1280907422,1282224512,1299019355",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Sam,Sam Barker,1,1,2008,1999,0,,1206161350,931840905,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Schmidt,Anne Schmidt,1,7,2003,"2010,2011,2012,2013,2014",0,,1035277529,"1282224512,1298627369,1337617980,1349043745,1354752474",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Seb,Seb Lefay,1,1,2010,2014,0,,1268445253,1417000778,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Send,Daniel Send,1,0,2003,,0,,1035277529,,8,"suffix_match,token_subset,rare_alias"
Serge,Serge Kaldany,1,59,2005,2004..2018 (8 yrs),0,,1103297805,"1089373321,1090569022,1103724325,1105087209,1125936037",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Shay,Shay Wright,2,1,1998,2000,0,,876336655,933115858,6,"prefix_match,token_subset,rare_alias"
Sheeddy El Salman,Sheeddy el Salman,3,0,"2010,2011",,0,,"1267469140,1285989828,1314323534",,5,"initial_variant,rare_alias"
Sidart,Sidart Deb,1,2,2003,"2004,2005",0,,1064849293,"1089373321,1103724325",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Simon,Hendrik Simon,1,7,2002,"2009,2011,2012,2013,2014,2018",0,,1025084282,"1226679678,1298627369,1328094862,1349043745,1354752474",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Smirnov,Alex Smirnov,1,1,2003,2006,0,,1035277529,1137942486,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Sunny Freeman Genz,Sunny Freeman-Genz,1,33,2003,2000..2012 (11 yrs),0,,1035277529,"1012638214,1028233308,1036298726,1069929277,1070954568",6,"initial_variant,rare_alias,canon_more_common"
Tellenbach,Grischa Tellenbach,1,127,2003,2002..2025 (23 yrs),0,,1035277529,"1030830356,1042821772,1050745947,1064849293,1080138513",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Thomas,Heather Thomas,1,6,2006,"2003,2004,2008,2009",0,,1137942486,"1058378281,1069929277,1189977929,1216849705,1235253768",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Thorsten Pusty Karbenervoschel,Thorsten Pusty karbenervoschel,1,0,2005,,0,,1105353373,,5,"initial_variant,rare_alias"
Tomá Olc,Tomá olc,1,0,2006,,0,,1137937282,,5,"initial_variant,rare_alias"
Toxic,Toxic Tom B.,1,2,2004,1997,0,,1069929277,857879540,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Tre Jones,Tre Jones JABag,1,0,2003,,0,,1044624680,,6,"prefix_match,token_subset,rare_alias"
Trey Lykins,trey lykins,2,0,2006,,0,,"1155788760,1164034575",,5,"initial_variant,rare_alias"
Tyrpekl,Tomas Tyrpekl,1,5,2001,"1999,2000,2001,2003",0,,996678489,"1000071985,1042821772,942013549,944242404,981560223",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Vilalba Martin,Vilalba martin,1,0,2004,,0,,1079605499,,5,"initial_variant,rare_alias"
Vojta,Vojta Janousek,1,3,2001,"2013,2014,2015",0,,996678489,"1379414806,1389730147,1415986036",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Weiss,Sabrina Weiss,1,2,2001,2000,0,,996678489,948198763,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Wigger,Torbin Wigger,1,5,2000,"1984,1999,2001,2011",0,,948198763,"1298627369,2001984001,912467534,917278465,980502839",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Yavor,Yavor Zehlev,1,0,2025,,0,,1739036206,,6,"prefix_match,token_subset,rare_alias"
Yves,Yves Archambault,1,62,2010,1990..2014 (19 yrs),0,,1268445253,"1011291051,1013283071,1031334528,1035277529,1057175925",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Zahner,Beni Zahner,1,1,2003,2001,0,,1035277529,981560223,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Łukasz,Łukasz Bochenek,1,1,2016,2005,0,,1473853257,1102443443,7,"prefix_match,token_subset,rare_alias,canon_more_common"
