player_id,name_raw,name_clean,person_id,person_canon,issue_type,appearances,evidence,suggested_action
,"Andrey, Sophie","Andrey, Sophie",,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,André,André,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Annual,Annual,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Annual Mountain Dew's,Annual Mountain Dew's,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Annual New Zealand Footbag Championships,Annual New Zealand Footbag Championships,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Anthony Glick,Anthony Glick,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Anthony Intemann / Greg Nice Neumann,Anthony Intemann / Greg Nice Neumann,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Anthony Raymond Intemann,Anthony Raymond Intemann,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Anton Britting,Anton Britting,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Antonio Fritsch,Antonio Fritsch,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,April Tou,April Tou,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Arek Hutnik,Arek Hutnik,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Arkadiusz Dudzinski,Arkadiusz Dudzinski,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,"Arkadiusz Dudziñski ? 208,13(S³upsk)","Arkadiusz Dudziñski ? 208,13(S³upsk)",,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Arkady Lobankov,Arkady Lobankov,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Arnaud Saniez,Arnaud Saniez,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,"Arnaud, Anthony","Arnaud, Anthony",,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Arthur,Arthur,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Arthur Ledain,Arthur Ledain,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Augustin,Augustin,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
,Augustin Tiffaud,Augustin Tiffaud,,,unmapped_player_id,1,no alias in person_aliases.csv,accept as unresolved (single appearance)
