event_id,event_name,year,issue_class,severity,note,n_placements,n_divisions,has_dup_places,has_round_kw,place_reset_count,has_mirror_manual,results_raw_len
1288096032,Zocha Jam 2010,2010,OTHER,severe,"multiple divisions merged (4 affected: ""Circle Contest"", ""Footbag Golf"", ""Open Singles Freestyle"" + ",76,11,1,0,12,1,2030
1293877677,32nd IFPA WORLD FOOTBAG CHAMPIONSHIPS,2011,POOL_FINALS_MERGED,severe,"pool+finals results merged (10 divisions, 34 dup pairs, 224 affected rows)",381,22,1,0,1,1,11003
1293877917,13th Annual IFPA European Footbag Championships,2011,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Intermediate Singles Net"", ""Open Circl",140,18,1,0,21,1,5658
1294262550,12e Open de France de Footbag,2011,MERGED_UNLABELLED_DIVISIONS,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Routines"")",114,8,1,0,12,1,6130
1297811412,11th Annual Polish Footbag Championships 2011,2011,POOL_FINALS_MERGED,severe,"pool+finals results merged (4 divisions, 21 dup pairs, 88 affected rows)",157,11,1,0,13,1,3547
1305581560,French Footbag Championships 2011,2011,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Singles Net"", 9 dup pairs)",35,2,1,0,5,1,1611
1314323534,5to Campeonato Suramericano de Footbag,2011,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Footbag Freestyle."", ""Shred 30"", 3 dup pairs)",73,9,1,0,0,1,2848
1316280393,8th Annual Wilanow Footbag Open 2011,2011,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Circle Contest"", ""Open Routines"", 5 dup pairs)",63,7,1,0,6,1,1969
1318673467,Austrian Footbag Championships 2011,2011,MERGED_UNLABELLED_DIVISIONS,severe,"Open/Intermediate results merged under unlabelled divisions (""Open Circle Contest"", ""Open Singles Ro",45,4,1,0,4,1,1449
1323272493,33rd IFPA WORLD FOOTBAG CHAMPIONSHIPS,2012,POOL_FINALS_MERGED,severe,"pool+finals results merged (8 divisions, 28 dup pairs, 132 affected rows)",681,32,1,0,39,1,23737
